price,county,garage,address,bedrooms,lot_size,listed_by,per_month,year_built
"$749,500",Cook County,—,"5911 N Keating Ave , Chicago, IL 60646",4,"4,092 Sq. Ft.",,"$4,952 per month",1978
"$2,650,000",Cook County,—,"2714 N Greenview Ave , Chicago, IL 60614",5,"3,198 Sq. Ft.",,"$17,998 per month",2004
"$320,000",Cook County,—,"1636 N Wells St #1709 , Chicago, IL 60614",1,—,David Betancourt,"$3,061 per month",—
"$775,000",Cook County,—,"812 W Van Buren St Unit 5A , Chicago, IL 60607",3,—,Niko Voutsinas,"$6,174 per month",—
"$1,100,000",Cook County,—,"3428 N Kilbourn Ave , Chicago, IL 60641",4,—,Leopoldo Gutierrez,"$7,068 per month",—
"$775,000",Cook County,—,"3032 W Lyndale St Unit 2W , Chicago, IL 60647",3,—,,"$5,177 per month",—
"$700,000",Cook County,—,"653 N Kingsbury St #1103 , Chicago, IL 60654",3,—,,"$4,893 per month",—
"$759,000",Cook County,—,"2405 W Iowa St #303 , Chicago, IL 60622",3,—,,"$4,883 per month",—
"$450,000",Cook County,—,"212 W Washington St #1505 , Chicago, IL 60606",2,—,,"$3,332 per month",—
"$2,250,000",Cook County,—,"9999 Confidential , Chicago, IL 60625",7,—,,"$14,701 per month",—
"$639,000",Cook County,—,"4110 N Western Ave Unit 2S , Chicago, IL 60618",3,—,,"$4,145 per month",—
"$525,000",Cook County,—,"1219 W Foster Ave Unit 2W , Chicago, IL 60640",2,—,,"$3,626 per month",—
"$330,000",Cook County,—,"3130 N Monitor Ave , Chicago, IL 60634",4,"4,092 Sq. Ft.",,"$2,260 per month",1926
"$2,495,000",Cook County,—,"2049 N Seminary Ave , Chicago, IL 60614",4,"3,100 Sq. Ft.",,"$16,519 per month",1893
"$1,650,000",Cook County,—,"2125 W Erie St , Chicago, IL 60612",5,"2,952 Sq. Ft.",,"$11,146 per month",2017
"$445,000",Cook County,—,"4156 N Elston Ave Unit 4S , Chicago, IL 60618",3,—,,"$3,034 per month",—
"$775,000",Cook County,—,"2024 W Iowa St Unit 3B , Chicago, IL 60622",3,—,,"$5,174 per month",—
"$789,000",Cook County,—,"3443 N Whipple St , Chicago, IL 60618",4,"1,135 Sq. Ft.",,"$5,375 per month",2014
"$550,000",Cook County,—,"60 E Monroe St #2608 , Chicago, IL 60603",2,—,,"$4,106 per month",—
"$599,000",Cook County,—,"2657 W Thomas St Unit 1E , Chicago, IL 60622",3,—,,"$4,038 per month",—
"$1,200,000",Cook County,—,"4332 N Monticello Ave , Chicago, IL 60618",4,"3,750 Sq. Ft.",,"$7,855 per month",2020
"$235,000",Cook County,—,"540 W Brompton Ave Unit 2N , Chicago, IL 60657",1,—,,"$1,664 per month",—
"$575,000",Cook County,—,"333 W Hubbard St #605 , Chicago, IL 60654",2,—,,"$3,946 per month",—
"$589,000",Cook County,—,"3846 N Troy St , Chicago, IL 60618",5,"4,687 Sq. Ft.",,"$4,152 per month",1901
"$325,000",Cook County,—,"1355 N Sandburg Ter #2608 , Chicago, IL 60610",2,—,,"$2,169 per month",—
"$550,000",Cook County,—,"1043 N Winchester Ave #2 , Chicago, IL 60622",2,—,,"$3,666 per month",—
"$700,000",Cook County,—,"1543 W Montana St #3 , Chicago, IL 60614",2,—,,"$4,799 per month",—
,Cook County,—,"Undisclosed Address , Chicago, IL 60608",7,"3,780 Sq. Ft.",,$0 per month,1898
"$725,000",Cook County,—,"3427 S Emerald Ave , Chicago, IL 60616",5,"3,125 Sq. Ft.",,"$4,917 per month",1904
"$2,400,000",Cook County,—,"2648 N Mildred Ave , Chicago, IL 60614",5,—,,"$15,681 per month",—
"$500,000",Cook County,—,"110 N Peoria St #208 , Chicago, IL 60607",2,—,,"$3,502 per month",—
"$225,000",Cook County,—,"777 N Michigan Ave #3406 , Chicago, IL 60611",,—,,"$1,589 per month",—
"$2,300,000",Cook County,—,"3012 N Hoyne Ave , Chicago, IL 60618",5,"3,100 Sq. Ft.",,"$14,961 per month",2014
"$499,900",Cook County,—,"2127 W Rice St Unit 3E , Chicago, IL 60622",2,—,,"$3,347 per month",—
"$260,000",Cook County,—,"6800 S Dante Ave #3 , Chicago, IL 60637",3,—,,"$1,676 per month",—
"$340,000",Cook County,—,"111 S Morgan St #620 , Chicago, IL 60607",1,—,,"$2,415 per month",—
"$795,000",Cook County,—,"6551 N Maplewood Ave , Chicago, IL 60645",5,"4,687 Sq. Ft.",Nancy Huetteman,"$4,818 per month",1922
"$699,000",Cook County,—,"3641 N Ashland Ave Unit 1N , Chicago, IL 60613",4,—,,"$5,206 per month",—
"$169,000",Cook County,—,"5338 S Wood St , Chicago, IL 60609",8,"3,125 Sq. Ft.",,"$1,269 per month",1911
"$439,000",Cook County,—,"9858 S Springfield Ave , Evergreen Park, IL 60805",3,"4,370 Sq. Ft.",,"$3,224 per month",1968
"$2,325,000",Cook County,—,"2907 W Mclean Ave , Chicago, IL 60647",6,—,,"$14,939 per month",—
"$330,000",Cook County,—,"3930 N Pine Grove Ave #1815 , Chicago, IL 60613",2,—,,"$3,440 per month",—
"$425,000",Cook County,—,"2605 N Oak Park Ave , Chicago, IL 60707",4,"3,780 Sq. Ft.",,"$2,741 per month",1924
"$350,000",Cook County,—,"400 E Randolph St #2208 , Chicago, IL 60601",1,—,,"$3,273 per month",—
"$430,000",Cook County,—,"400 E Randolph St #1710 , Chicago, IL 60601",2,—,,"$4,307 per month",—
"$300,500",Cook County,—,"6209 S Justine St , Chicago, IL 60636",5,"3,125 Sq. Ft.",,"$1,866 per month",1908
"$340,000",Cook County,—,"8630 S Bishop St , Chicago, IL 60620",5,"4,125 Sq. Ft.",,"$2,141 per month",1925
"$785,000",Cook County,—,"4537 N Clark St Unit 3C , Chicago, IL 60640",3,—,,"$5,465 per month",—
"$749,000",Cook County,—,"2951 W Jarlath St , Chicago, IL 60645",3,"5,208 Sq. Ft.",,"$4,718 per month",1947
"$649,000",Cook County,—,"2411 W Walton St Unit 3E , Chicago, IL 60622",2,—,,"$4,929 per month",—
"$2,550,000",Cook County,—,"1900 W Cortland St , Chicago, IL 60622",5,"3,000 Sq. Ft.",,"$15,471 per month",1941
"$499,950",Cook County,—,"6207 W Eastwood Ave , Chicago, IL 60630",4,"7,531 Sq. Ft.",,"$3,305 per month",1953
"$575,000",Cook County,—,"6006 N Lawndale Ave , Chicago, IL 60659",3,"7,250 Sq. Ft.",,"$4,034 per month",1955
"$599,000",Cook County,—,"3027 N Racine Ave #3 , Chicago, IL 60657",2,—,,"$4,519 per month",—
"$275,000",Cook County,—,"4263 W Montrose Ave , Chicago, IL 60641",,—,,"$2,253 per month",—
"$1,175,000",Cook County,—,"3417 W Evergreen Ave , Chicago, IL 60651",16,"4,762 Sq. Ft.",,"$7,519 per month",1913
"$349,000",Cook County,—,"7952 S Marquette Ave , Chicago, IL 60617",9,"3,119 Sq. Ft.",,"$2,503 per month",2007
,,,"200 W Grand Ave #806 , Chicago, IL 60654",2,,,,
"$490,000",Cook County,—,"1140 E Hyde Park Blvd Unit 3D , Chicago, IL 60615",4,—,Camie Cirrincione,"$4,156 per month",—
"$350,000",Cook County,—,"5445 N Sheridan Rd #802 , Chicago, IL 60640",2,—,Leopoldo Gutierrez,"$3,308 per month",—
"$299,000",Cook County,—,"155 N Harbor Dr #4305 , Chicago, IL 60601",1,—,Stacey Dombar,"$2,970 per month",—
"$225,000",Cook County,—,"512 N Mcclurg Ct #3809 , Chicago, IL 60611",,—,Kellye Jackson,"$2,101 per month",—
"$775,000",Cook County,—,"945 N Honore St #3 , Chicago, IL 60622",3,—,Tara Leinenweber,"$5,708 per month",—
"$595,000",Cook County,—,"4341 N Mozart St #1 , Chicago, IL 60618",3,—,Nancy Huetteman,"$4,096 per month",—
"$600,000",Cook County,—,"5054 S Woodlawn Ave Unit 3C , Chicago, IL 60615",4,—,Brittany Strale,"$5,334 per month",—
"$750,000",Cook County,—,"650 N Morgan St #202 , Chicago, IL 60642",3,—,Niko Voutsinas,"$5,901 per month",—
"$359,900",Cook County,—,"1221 E Hyde Park Blvd #1 , Chicago, IL 60615",3,—,Melissa Kingsbury,"$2,959 per month",—
"$650,000",Cook County,—,"4535 N Spaulding Ave , Chicago, IL 60625",7,—,Revé Kendall,"$4,502 per month",—
