name,price
"<span>Amazon Fire HD 10 tablet (newest model) built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, 32 GB, Lilac</span>","<span class=""a-price-whole"">139<span class=""a-price-decimal"">.</span></span>"
"<span>Apple iPad 11-inch: A16 chip, 11-inch Model, Liquid Retina Display, 128GB, Wi-Fi 6, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life — Blue</span>","<span class=""a-price-whole"">329<span class=""a-price-decimal"">.</span></span>"
"<span>Amazon Fire HD 10 tablet (newest model) built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, 32 GB, Lilac</span>","<span class=""a-price-whole"">139<span class=""a-price-decimal"">.</span></span>"
"<span>COOPERS Tablet 10 inch, Android 15 Tablet, 32GB ROM 1TB Expand Computer Tablets, Quad Core Processor 6000mAh Battery, 1280x800 IPS Touch Screen, 2+8MP Dual HD Camera, Bluetooth WiFi Tablets PC</span>","<span class=""a-price-whole"">54<span class=""a-price-decimal"">.</span></span>"
"<span>Samsung Galaxy Tab A11+ 6GB RAM, 128GB Storage, Optimized Performance, Long Lasting Battery, Expandable Storage, Large Display, Dolby Atmos Speakers, AI Assist, Slim, Light, 2 Year Warranty, Gray</span>","<span class=""a-price-whole"">249<span class=""a-price-decimal"">.</span></span>"
"<span>Amazon Fire HD 10 Kids tablet (newest model) ages 3-7 | Bright 10.1"" HD screen with included ad-free and exclusive content, robust parental controls, 13-hr battery, 32 GB, Pink</span>","<span class=""a-price-whole"">189<span class=""a-price-decimal"">.</span></span>"
"<span>Tablet 10.1 inch, Android 15 Tablet with Case, 24GB RAM + 64GB ROM 1 TB Expandable, 1280x800 HD IPS Touch Screen, 8H Battery, WiFi 6, BT 5.4, Dual Camera (Gray)</span>","<span class=""a-price-whole"">69<span class=""a-price-decimal"">.</span></span>"
"<span>Apple iPad 11-inch: A16 chip, 11-inch Model, Liquid Retina Display, 128GB, Wi-Fi 6, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life — Pink</span>","<span class=""a-price-whole"">329<span class=""a-price-decimal"">.</span></span>"
"<span>10 Inch Tablet, Android 15 with 24GB RAM + 128GB ROM (1TB Expandable), Octa-Core, 1280x800 IPS HD Touchscreen, 5MP+8MP Dual Camera, 6000mAh, Tablet with Keyboard, Mouse, Widevine L1(Blue)</span>","<span class=""a-price-whole"">79<span class=""a-price-decimal"">.</span></span>"
"<span>ZZB 10 inch Tablet Android 15 Tablet PC, 10.1"" Android Tablets DDR4 8GB RAM 32GB ROM 2MP+8MP Dual Camera 5G WiFi-6 BT Support 1TB Expand 10 in IPS 6000mAh Battery Powerful Performance Tablets (Gray)</span>","<span class=""a-price-whole"">52<span class=""a-price-decimal"">.</span></span>"
"<span>Amazon Fire HD 8 Kids tablet (newest model), ages 3-7 | 3GB memory, bright 8"" HD screen. Includes ad-free and exclusive content, parental controls and 13-hr battery, 32GB, Grape</span>","<span class=""a-price-whole"">139<span class=""a-price-decimal"">.</span></span>"
