damage,alignment,num_units,street_no,crash_hour,crash_type,crash_month,report_type,road_defect,street_name,hit_and_run_i,injuries_fatal,injuries_total,work_zone_type,trafficway_type,device_condition,first_crash_type,injuries_unknown,street_direction,crash_day_of_week,weather_condition,beat_of_occurrence,lighting_condition,most_severe_injury,posted_speed_limit,roadway_surface_cond,injuries_no_indication,intersection_related_i,sec_contributory_cause,traffic_control_device,injuries_incapacitating,prim_contributory_cause,injuries_non_incapacitating,injuries_reported_not_evident
2,2,1.0,8300,21,0,7,2,1,217,1,0.0,1.0,,8,2,2,0.0,2,3,1,424,0,3,25,0,3.0,1,31,3,0.0,27,1.0,0.0
1,3,2.0,2400,18,1,8,1,1,83,1,0.0,0.0,,6,1,15,0.0,0,4,1,334,4,2,30,0,2.0,1,21,14,0.0,23,0.0,0.0
2,3,2.0,551,1,0,8,2,1,463,1,0.0,5.0,,8,2,3,0.0,2,1,1,1133,1,3,25,0,0.0,1,24,3,0.0,34,5.0,0.0
1,3,2.0,5329,9,1,7,2,1,352,1,0.0,0.0,,10,2,7,0.0,2,2,6,231,3,2,30,5,1.0,1,24,3,0.0,36,0.0,0.0
2,3,1.0,8600,13,0,8,2,1,201,1,0.0,0.0,,3,2,2,0.0,2,2,1,412,3,2,45,0,1.0,1,31,3,0.0,13,0.0,0.0
0,3,1.0,850,20,1,7,2,5,501,0,0.0,0.0,,17,5,2,0.0,3,4,1,1654,5,2,25,4,1.0,1,24,15,0.0,25,0.0,0.0
1,3,2.0,845,11,1,8,2,1,135,1,0.0,0.0,,8,1,16,0.0,2,3,1,1513,3,2,25,0,2.0,1,10,14,0.0,24,0.0,0.0
1,3,2.0,8800,14,1,9,2,1,201,1,0.0,0.0,,3,2,15,0.0,2,7,1,412,3,2,10,0,3.0,1,24,3,0.0,14,0.0,0.0
2,3,2.0,2331,7,1,9,2,1,340,1,0.0,0.0,,8,2,0,0.0,3,5,1,2411,3,2,30,0,2.0,1,24,3,0.0,25,0.0,0.0
1,3,2.0,516,12,1,7,2,1,501,1,0.0,0.0,,11,2,7,0.0,3,5,1,1654,3,2,20,0,1.0,1,31,3,0.0,33,0.0,0.0
0,3,2.0,517,14,1,8,2,1,501,1,0.0,0.0,,12,2,15,0.0,3,6,1,1654,3,2,15,0,2.0,1,31,3,0.0,33,0.0,0.0
1,3,2.0,3257,22,1,8,1,5,234,1,0.0,0.0,,8,5,10,0.0,2,7,1,912,4,2,30,0,2.0,1,24,15,0.0,21,0.0,0.0
2,3,2.0,7301,18,1,7,1,5,330,1,0.0,0.0,,17,5,3,0.0,3,1,10,1613,5,2,30,4,2.0,1,24,15,0.0,33,0.0,0.0
1,3,2.0,5900,12,1,8,1,1,631,1,0.0,0.0,,10,1,10,0.0,2,7,1,232,3,2,35,0,2.0,1,31,14,0.0,33,0.0,0.0
2,3,1.0,8900,18,0,8,2,1,201,1,0.0,1.0,,3,1,2,0.0,2,4,1,423,3,1,10,0,0.0,1,32,6,1.0,17,0.0,0.0
2,3,2.0,899,21,1,8,1,5,135,1,0.0,0.0,,8,1,0,0.0,2,1,1,1513,1,2,30,4,4.0,1,15,13,0.0,5,0.0,0.0
2,3,2.0,1799,16,1,7,1,1,585,1,0.0,0.0,,10,1,16,0.0,2,5,1,1021,3,2,30,0,2.0,1,20,13,0.0,23,0.0,0.0
1,4,2.0,162,5,1,8,2,1,155,1,0.0,0.0,,3,2,15,0.0,1,2,1,1654,3,2,35,0,2.0,1,24,3,0.0,22,0.0,0.0
2,3,2.0,1,13,1,12,2,1,142,1,0.0,0.0,,10,2,15,0.0,2,5,2,813,3,2,15,5,2.0,1,31,3,0.0,33,0.0,0.0
1,3,2.0,1356,13,1,11,1,1,581,1,0.0,0.0,,12,2,7,0.0,2,4,1,132,3,2,10,0,1.0,1,24,3,0.0,25,0.0,0.0
1,3,1.0,4340,22,1,12,2,1,442,1,0.0,0.0,,6,1,4,0.0,1,7,6,1654,1,2,30,5,1.0,1,24,14,0.0,25,0.0,0.0
1,2,2.0,3,18,1,8,2,1,600,1,0.0,0.0,,10,2,10,0.0,3,7,6,1653,3,2,20,5,2.0,1,34,3,0.0,26,0.0,0.0
1,3,2.0,5100,15,1,8,1,1,631,1,0.0,0.0,,8,5,0,0.0,2,3,1,225,3,2,30,0,2.0,1,31,15,0.0,33,0.0,0.0
2,3,1.0,6602,19,0,9,2,1,457,1,0.0,0.0,,10,2,4,0.0,2,7,6,322,4,2,50,5,1.0,1,24,15,0.0,33,0.0,0.0
2,3,2.0,9507,15,0,8,2,1,157,1,0.0,0.0,,8,2,14,0.0,2,1,1,2213,3,2,30,0,2.0,1,15,3,0.0,34,0.0,0.0
2,3,2.0,845,10,1,9,2,1,501,1,0.0,0.0,,12,2,14,0.0,3,3,1,1654,3,2,25,0,2.0,1,31,3,0.0,33,0.0,0.0
1,3,2.0,893,12,1,7,2,5,501,1,0.0,0.0,,12,2,15,0.0,3,4,1,1654,3,2,10,0,2.0,1,31,3,0.0,33,0.0,0.0
2,3,3.0,173,23,1,12,2,5,155,1,0.0,0.0,,10,1,10,0.0,1,1,1,1654,1,2,30,0,5.0,1,24,14,0.0,33,0.0,0.0
2,3,2.0,6232,16,1,11,1,5,631,1,0.0,0.0,,10,2,15,0.0,2,7,10,311,5,2,30,4,2.0,1,24,3,0.0,22,0.0,0.0
2,3,2.0,3999,15,1,12,2,1,87,1,0.0,0.0,,2,2,16,0.0,3,3,1,833,3,2,35,0,2.0,1,24,3,0.0,23,0.0,0.0
1,3,2.0,49,20,1,11,2,1,348,1,0.0,0.0,,3,2,15,0.0,3,3,1,1654,1,2,35,0,2.0,1,10,3,0.0,18,0.0,0.0
1,3,2.0,6299,8,1,12,1,1,647,1,0.0,0.0,,10,2,15,0.0,2,3,1,711,3,2,30,0,2.0,1,24,3,0.0,23,0.0,0.0
2,3,2.0,5500,21,0,9,1,1,631,1,0.0,1.0,,10,2,15,0.0,2,6,1,225,1,1,30,0,1.0,1,24,3,1.0,25,0.0,0.0
2,3,2.0,2030,10,1,12,2,1,368,1,0.0,0.0,,6,1,0,0.0,2,1,6,1022,3,2,30,5,4.0,1,31,13,0.0,13,0.0,0.0
1,3,2.0,701,6,1,12,1,1,234,1,0.0,0.0,,8,1,0,0.0,2,3,1,1225,3,2,25,0,2.0,1,31,1,0.0,33,0.0,0.0
1,3,2.0,5930,13,0,9,2,5,631,1,0.0,2.0,,10,2,10,0.0,2,6,1,232,3,4,30,0,2.0,1,31,3,0.0,17,0.0,2.0
2,3,2.0,399,7,1,8,2,1,34,1,0.0,0.0,,3,2,15,0.0,0,1,1,132,3,2,40,0,2.0,1,10,3,0.0,22,0.0,0.0
2,3,1.0,1,20,1,8,2,1,514,1,0.0,0.0,,13,2,2,0.0,3,7,1,1654,1,2,15,0,1.0,1,31,3,0.0,12,0.0,0.0
2,3,3.0,400,15,0,8,2,5,432,1,0.0,0.0,,2,2,15,0.0,1,4,1,1834,3,2,30,0,3.0,1,31,3,0.0,12,0.0,0.0
1,3,2.0,13004,1,0,8,1,1,166,1,0.0,1.0,,8,2,16,0.0,2,1,1,433,2,3,30,0,1.0,1,22,14,0.0,23,1.0,0.0
2,3,2.0,741,6,1,12,2,1,501,1,0.0,0.0,,12,2,7,0.0,3,6,6,1654,3,2,20,5,1.0,1,24,3,0.0,36,0.0,0.0
2,3,2.0,7200,20,1,9,2,1,337,1,0.0,0.0,,10,2,0,0.0,2,3,1,735,0,2,30,0,4.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,3,19,1,12,2,1,600,1,0.0,0.0,,11,2,15,0.0,3,7,1,1653,0,2,20,0,2.0,1,24,3,0.0,22,0.0,0.0
2,3,2.0,5500,7,1,9,1,1,631,1,0.0,0.0,,3,1,16,0.0,2,5,1,225,3,2,35,0,2.0,1,15,3,0.0,22,0.0,0.0
0,3,2.0,3100,22,1,8,1,5,313,1,0.0,0.0,,8,5,10,0.0,1,5,10,1933,1,2,30,4,2.0,1,31,15,0.0,33,0.0,0.0
2,3,2.0,10000,21,1,12,1,5,143,1,0.0,0.0,,8,1,0,0.0,3,1,10,1654,5,2,30,4,2.0,1,24,14,0.0,33,0.0,0.0
2,3,2.0,538,7,1,12,1,1,501,1,0.0,0.0,,12,2,7,0.0,3,7,1,1654,2,2,20,0,1.0,1,24,3,0.0,33,0.0,0.0
2,3,2.0,4600,15,1,9,1,1,257,1,0.0,0.0,,8,1,0,0.0,2,5,1,215,3,2,30,0,2.0,1,5,13,0.0,5,0.0,0.0
2,0,1.0,3,5,1,9,2,1,600,1,0.0,0.0,,10,2,2,0.0,3,4,6,1653,1,2,30,5,1.0,1,34,3,0.0,36,0.0,0.0
2,3,2.0,4900,21,1,7,1,1,257,1,0.0,0.0,,8,1,15,0.0,2,6,1,224,1,2,30,0,3.0,1,24,14,0.0,25,0.0,0.0
0,3,2.0,3,17,1,9,2,1,600,1,0.0,0.0,,10,2,15,0.0,3,2,2,1653,3,2,20,0,2.0,1,31,3,0.0,12,0.0,0.0
0,3,2.0,517,14,1,9,2,1,501,1,0.0,0.0,,12,2,7,0.0,3,7,1,1654,3,2,20,0,2.0,1,24,3,0.0,35,0.0,0.0
2,0,2.0,6700,1,0,9,2,1,201,1,0.0,1.0,,13,2,10,0.0,2,7,1,322,1,3,45,0,4.0,1,24,3,0.0,33,1.0,0.0
2,3,2.0,475,13,0,9,2,1,501,1,0.0,1.0,,10,2,15,0.0,3,2,1,1654,3,4,20,0,2.0,1,16,3,0.0,18,0.0,1.0
2,3,2.0,6406,15,1,8,2,5,475,0,0.0,0.0,,8,2,16,0.0,1,7,1,2412,3,2,10,0,4.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,6259,13,1,8,2,1,647,1,0.0,0.0,,6,3,0,0.0,2,4,1,711,3,2,30,0,2.0,1,24,13,0.0,5,0.0,0.0
2,3,1.0,7300,0,1,8,2,1,200,1,0.0,0.0,,10,2,5,0.0,2,2,1,323,0,2,55,0,1.0,1,24,3,0.0,25,0.0,0.0
2,3,2.0,4600,14,1,8,2,4,352,1,0.0,0.0,,6,2,0,0.0,2,4,1,215,2,2,30,0,4.0,1,31,3,0.0,33,0.0,0.0
2,3,2.0,10700,5,1,8,1,5,331,1,0.0,0.0,,3,1,10,0.0,3,6,1,1654,3,2,35,0,2.0,1,31,14,0.0,33,0.0,0.0
1,3,2.0,475,10,1,8,2,1,501,1,0.0,0.0,,12,2,7,0.0,3,3,1,1654,3,2,15,0,1.0,1,31,3,0.0,33,0.0,0.0
2,3,4.0,517,6,0,9,2,1,501,1,0.0,1.0,,2,2,10,0.0,3,5,1,1654,2,4,40,0,3.0,1,24,3,0.0,18,0.0,1.0
2,3,2.0,8700,14,1,8,1,5,201,1,0.0,0.0,,11,2,15,0.0,2,1,1,412,3,2,55,0,3.0,1,24,3,0.0,25,0.0,0.0
2,3,2.0,13000,18,0,9,2,1,590,1,0.0,0.0,,8,1,10,0.0,2,5,1,434,3,2,30,0,2.0,1,31,14,0.0,19,0.0,0.0
1,3,2.0,8800,12,1,9,2,1,201,1,0.0,0.0,,3,2,15,0.0,2,1,1,412,3,2,35,0,5.0,1,10,3,0.0,8,0.0,0.0
2,3,2.0,4700,15,1,8,1,1,257,1,0.0,0.0,,8,2,16,0.0,2,1,1,224,3,2,30,0,2.0,1,24,14,0.0,33,0.0,0.0
2,3,2.0,644,20,0,8,2,1,49,1,0.0,0.0,,0,2,3,0.0,0,4,1,214,0,2,35,0,7.0,1,24,3,0.0,23,0.0,0.0
0,3,2.0,450,13,1,8,1,1,501,1,0.0,0.0,,12,2,7,0.0,3,6,1,1654,3,2,20,0,1.0,1,24,3,0.0,21,0.0,0.0
1,3,2.0,1,8,1,8,2,1,514,1,0.0,0.0,,12,2,7,0.0,3,5,1,1654,3,2,15,0,1.0,1,27,3,0.0,24,0.0,0.0
2,3,2.0,3116,14,1,9,1,1,313,1,0.0,0.0,,8,1,15,0.0,1,1,1,1933,3,2,30,0,2.0,1,10,14,0.0,22,0.0,0.0
1,3,1.0,10000,18,1,2,1,3,613,1,0.0,0.0,,8,2,5,0.0,2,6,9,2213,1,2,30,5,1.0,1,24,3,0.0,33,0.0,0.0
2,3,3.0,13000,17,1,8,2,1,590,1,0.0,0.0,,8,2,10,0.0,2,3,1,434,3,2,30,0,3.0,1,31,3,0.0,19,0.0,0.0
2,3,1.0,6900,9,0,9,2,1,201,1,0.0,0.0,,3,2,2,0.0,2,6,1,322,3,2,55,0,1.0,1,24,3,0.0,9,0.0,0.0
2,3,2.0,1,7,1,9,2,1,514,1,0.0,0.0,,12,2,16,0.0,3,5,1,1654,3,2,25,0,2.0,1,10,3,0.0,18,0.0,0.0
2,3,1.0,561,7,1,10,2,1,501,1,0.0,0.0,,11,2,2,0.0,3,4,1,1654,3,2,20,0,1.0,1,10,3,0.0,26,0.0,0.0
2,3,2.0,3625,10,0,9,2,5,193,1,0.0,0.0,,11,4,16,0.0,3,5,1,1013,3,2,35,0,2.0,1,31,3,0.0,33,0.0,0.0
1,3,2.0,895,15,1,9,2,1,501,1,0.0,0.0,,11,2,7,0.0,3,4,1,1654,3,2,10,0,1.0,1,24,3,0.0,21,0.0,0.0
