id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,75818.0,1518682666937,1,1518682666937,37362304979.0,77881.0,75220.0,-1175.8340871358087,-1.52718,-23049929023.596924,-1.49507,20035096.0,20035096.0,21000000.0,126080.0,-39.86516,2025-10-06T18:57:42.558Z,67.81,111711.02025,2013-07-06T00:00:00.000Z,,2026-05-27T12:41:58.492Z,,,
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2082.6,251306289258,2,251306289258,13992357691.0,2135.38,2057.52,-33.976694089110424,-1.60526,-3988113841.3900146,-1.56216,120685456.1796863,120685456.1796863,,4946.05,-57.89354,2025-08-24T19:21:03.333Z,0.432979,480894.7785,2015-10-20T00:00:00.000Z,,2026-05-27T12:41:58.507Z,35.72346302458413,btc,3572.3463024584125
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.998485,189293869664,3,194752482458,63747200486.0,0.998912,0.998343,-0.000337364686914143,-0.03378,-106984264.25720215,-0.05649,189582683099.1331,195049624323.0262,,1.32,-24.53472,2018-07-24T00:00:00.000Z,0.572521,74.40016,2015-03-02T00:00:00.000Z,,2026-05-27T12:41:58.763Z,,,
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,655.45,88315113055,4,88315113055,1012563975.0,666.9,650.55,-5.993523887970923,-0.90613,-793267069.091217,-0.89023,134784780.62,134784780.62,200000000.0,1369.99,-52.1568,2025-10-13T08:41:24.131Z,0.0398177,1646021.96522,2017-10-19T00:00:00.000Z,,2026-05-27T12:41:58.578Z,,,
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.33,82496116289,5,133343884704,1613193805.0,1.36,1.32,-0.015478258214445484,-1.14677,-1003444942.8210907,-1.20174,61858321245.0,99985662685.0,100000000000.0,3.65,-63.40883,2025-07-18T03:40:53.808Z,0.00268621,49570.49714,2014-05-22T00:00:00.000Z,,2026-05-27T12:41:58.406Z,,,
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,0.999735,76294479884,6,76386790246,17588575154.0,1.0,0.99958,-5.41292126921e-06,-0.00054,17746224.0,0.02327,76320174749.5942,76412516199.80879,,1.043,-4.18984,2018-11-15T00:00:00.000Z,0.877647,13.91204,2023-03-11T08:02:13.981Z,,2026-05-27T12:41:58.564Z,,,
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,84.21,48692410016,7,52804033204,2556584531.0,85.92,83.01,-0.8343723916659087,-0.98112,-420555344.9420395,-0.8563,578343973.3256716,627179767.0512496,,293.31,-71.29056,2025-01-19T11:15:27.957Z,0.500801,16714.69767,2020-05-11T19:35:23.449Z,,2026-05-27T12:41:58.420Z,,,
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/photo_2026-04-13_09-59-16.png?1776048311,0.373648,35419680128,8,35419685559,542862056.0,0.37605,0.372428,-0.002338250543459153,-0.6219,-196779565.90348816,-0.5525,94810844878.5752,94810859415.07579,,0.431288,-13.36481,2024-12-04T00:10:40.323Z,0.00180434,20608.24597,2017-11-12T00:00:00.000Z,,2026-05-27T12:41:44.417Z,195.65658100644922,usd,19565.65810064492
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.026,18548152259,9,18548152259,21120179.0,1.037,1.015,0.0111067,1.0941,197480976.0,1.07615,18073708377.337,18073708377.337,,1.049,-2.19133,2026-03-09T17:00:25.937Z,0.155357,560.49907,2025-10-31T14:27:24.456Z,,2026-05-27T12:41:48.211Z,,,
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.10201,15745383498,10,17347362653,731396243.0,0.103436,0.100359,-0.000509895810515984,-0.49736,-78391124.21204948,-0.4954,154411606383.7052,170121873126.5791,,0.731578,-86.05615,2021-05-08T05:08:23.458Z,8.69e-05,117282.87085,2015-05-06T00:00:00.000Z,,2026-05-27T12:42:00.361Z,,,
