name,price,rating,sale_count
"<span class=""su-styled-text primary default"">Shop on eBay</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$20.00</span> <span class=""su-styled-text secondary large"">or Best Offer</span>",,"<span class=""su-styled-text primary default"">Shop on eBay</span> <span class=""su-styled-text secondary default"">Brand New</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$20.00</span> <span class=""su-styled-text secondary large"">or Best Offer</span>"
"<span class=""su-styled-text primary default"">Shop on eBay</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$20.00</span> <span class=""su-styled-text secondary large"">or Best Offer</span>",,"<span class=""su-styled-text primary default"">Shop on eBay</span> <span class=""su-styled-text secondary default"">Brand New</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$20.00</span> <span class=""su-styled-text secondary large"">or Best Offer</span>"
"<span class=""su-styled-text primary default"">HP Chromebook 11 G7 11.6"" Intel 2.60 GHz 4 GB RAM 32 GB eMMC Bluetooth Webcam SD</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$75.99</span> <span class=""su-styled-text secondary strikethrough large"">$94.99</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$134.53 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary bold large"">1,064+ sold</span> <span class=""su-styled-text negative bold large"">$5 off $50+ with coupon</span>",,"<span class=""su-styled-text primary default"">HP Chromebook 11 G7 11.6"" Intel 2.60 GHz 4 GB RAM 32 GB eMMC Bluetooth Webcam SD</span> <span class=""su-styled-text secondary default"">💸 Tax Refund Upgrade Sale 💻 1-Year Warranty ✅</span> <span class=""su-styled-text secondary default"">Very Good - Refurbished</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$75.99</span> <span class=""su-styled-text secondary strikethrough large"">$94.99</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$134.53 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary bold large"">1,064+ sold</span> <span class=""su-styled-text negative bold large"">$5 off $50+ with coupon</span> <span class=""su-styled-text primary large"">jetpaltd </span> <span class=""su-styled-text primary large"">99.6% positive (4.2K)</span> <span class=""su-styled-text default"">eBay Refurbished</span>"
"<span class=""su-styled-text primary default"">Dell Latitude 5500 Core i5-8265U 1.60 GHz 8 GB DDR4 512 GB NVMe Windows 11 Pro</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$189.99</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$250.00 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span>",,"<span class=""su-styled-text primary default"">Dell Latitude 5500 Core i5-8265U 1.60 GHz 8 GB DDR4 512 GB NVMe Windows 11 Pro</span> <span class=""su-styled-text secondary default"">Pre-Owned · </span> <span class=""su-styled-text secondary default"">Dell</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$189.99</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$250.00 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary large"">harddrivesonly </span> <span class=""su-styled-text primary large"">99.8% positive (32.3K)</span>"
"<span class=""su-styled-text primary default"">Dell Latitude 5420 Core i5-1135G7 2.40 GHz 16 GB DDR4 512 GB NVMe Windows 11 Pro</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$224.99</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$250.00 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span>",,"<span class=""su-styled-text primary default"">Dell Latitude 5420 Core i5-1135G7 2.40 GHz 16 GB DDR4 512 GB NVMe Windows 11 Pro</span> <span class=""su-styled-text secondary default"">Pre-Owned · </span> <span class=""su-styled-text secondary default"">Dell</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$224.99</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$250.00 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary large"">harddrivesonly </span> <span class=""su-styled-text primary large"">99.8% positive (32.3K)</span>"
"<span class=""su-styled-text primary default"">Lenovo ThinkPad L15 Gen 4 Core i3-1315U 1.20 GHz 8 GB DDR4 256 GB NVMe Windows</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$249.99</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$250.00 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span>",,"<span class=""su-styled-text primary default"">Lenovo ThinkPad L15 Gen 4 Core i3-1315U 1.20 GHz 8 GB DDR4 256 GB NVMe Windows</span> <span class=""su-styled-text secondary default"">Pre-Owned · </span> <span class=""su-styled-text secondary default"">Lenovo</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$249.99</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$250.00 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary large"">harddrivesonly </span> <span class=""su-styled-text primary large"">99.8% positive (32.3K)</span>"
"<span class=""su-styled-text primary default"">NEW Lenovo IdeaPad Pro 5i Touch Laptop Ultra 9 285H RTX 5050 32GB 1TB 83JM0019US</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$680.68</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">Free International Shipping</span> <span class=""su-styled-text secondary large"">Located in Australia</span> <span class=""su-styled-text primary bold large"">18 watchers</span>",,"<span class=""su-styled-text primary default"">NEW Lenovo IdeaPad Pro 5i Touch Laptop Ultra 9 285H RTX 5050 32GB 1TB 83JM0019US</span> <span class=""su-styled-text secondary default"">Brand New · </span> <span class=""su-styled-text secondary default"">Lenovo · </span> <span class=""su-styled-text secondary default"">1 TB</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$680.68</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">Free International Shipping</span> <span class=""su-styled-text secondary large"">Located in Australia</span> <span class=""su-styled-text primary bold large"">18 watchers</span> <span class=""su-styled-text primary large"">went_2252 </span> <span class=""su-styled-text primary large"">0% positive (0)</span>"
"<span class=""su-styled-text primary default"">2026 Lenovo IdeaPad Laptop Notebook 15.6"" Intel Processor Up to 20GB RAM 1TB SSD</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$289.00</span> <span class=""su-styled-text primary bold default s-card__price""> to </span> <span class=""su-styled-text primary bold large-1 s-card__price"">$579.00</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$210.17 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary bold large"">32+ watchers</span>",,"<span class=""su-styled-text primary default"">2026 Lenovo IdeaPad Laptop Notebook 15.6"" Intel Processor Up to 20GB RAM 1TB SSD</span> <span class=""su-styled-text secondary default"">✅Free Office 365 ✅8GB|12GB|20GB RAM ✅512GB|1TB SSD</span> <span class=""su-styled-text secondary default"">Brand New</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$289.00</span> <span class=""su-styled-text primary bold default s-card__price""> to </span> <span class=""su-styled-text primary bold large-1 s-card__price"">$579.00</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$210.17 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary bold large"">32+ watchers</span> <span class=""su-styled-text primary large"">hellogoodlife1 </span> <span class=""su-styled-text primary large"">97.9% positive (18.9K)</span>"
"<span class=""su-styled-text primary default"">Dell Touchscreen Chromebook 3100 11"" Celeron 1.1GHz/4GB/32GB P30T001 w/Warranty</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$55.34</span> <span class=""su-styled-text secondary strikethrough large"">$160.00</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$122.23 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary bold large"">1,108 sold</span>","<div class=""x-star-rating""><!--M_fbd99063#s0-2-54-0-9-8-4-4-0-3-0-4[6]-1-0-1-6-1-7-33-1-1-2-1[1]-0--><svg data-marko-key=""@svg s0-2-54-0-9-8-4-4-0-3-0-4[6]-1-0-1-6-1-7-33-1-1-2-1[1]-0"" class=""icon icon--16"" focusable=""false"" aria-hidden=""true""><defs data-marko-key=""@defs s0-2-54-0-9-8-4-4-0-3-0-4[6]-1-0-1-6-1-7-33-1-1-2-1[1]-0""><symbol viewbox=""0 0 16 16"" id=""icon-star-filled-16""><path d=""M8.596 1.928a.625.625 0 0 0-1.19 0L6.055 6.136H1.62a.625.625 0 0 0-.346 1.146l3.56 2.364-1.366 4.035a.625.625 0 0 0 .953.71L8 11.862l3.578 2.528a.625.625 0 0 0 .953-.71l-1.366-4.036 3.55-2.364a.625.625 0 0 0-.346-1.145H9.955l-1.36-4.207Z""></path></symbol></defs><use href=""#icon-star-filled-16""></use></svg><!--M_fbd99063/--><!--M_fbd99063#s0-2-54-0-9-8-4-4-0-3-0-4[6]-1-0-1-6-1-7-33-1-1-2-1[2]-0--><svg data-marko-key=""@svg s0-2-54-0-9-8-4-4-0-3-0-4[6]-1-0-1-6-1-7-33-1-1-2-1[2]-0"" class=""icon icon--16"" focusable=""false"" aria-hidden=""true""><use href=""#icon-star-filled-16""></use></svg><!--M_fbd99063/--><!--M_fbd99063#s0-2-54-0-9-8-4-4-0-3-0-4[6]-1-0-1-6-1-7-33-1-1-2-1[3]-0--><svg data-marko-key=""@svg s0-2-54-0-9-8-4-4-0-3-0-4[6]-1-0-1-6-1-7-33-1-1-2-1[3]-0"" class=""icon icon--16"" focusable=""false"" aria-hidden=""true""><use href=""#icon-star-filled-16""></use></svg><!--M_fbd99063/--><!--M_fbd99063#s0-2-54-0-9-8-4-4-0-3-0-4[6]-1-0-1-6-1-7-33-1-1-2-1[4]-0--><svg data-marko-key=""@svg s0-2-54-0-9-8-4-4-0-3-0-4[6]-1-0-1-6-1-7-33-1-1-2-1[4]-0"" class=""icon icon--16"" focusable=""false"" aria-hidden=""true""><use href=""#icon-star-filled-16""></use></svg><!--M_fbd99063/--><!--M_fbd99063#s0-2-54-0-9-8-4-4-0-3-0-4[6]-1-0-1-6-1-7-33-1-1-2-2-0--><svg data-marko-key=""@svg s0-2-54-0-9-8-4-4-0-3-0-4[6]-1-0-1-6-1-7-33-1-1-2-2-0"" class=""icon icon--16-colored"" focusable=""false"" aria-hidden=""true""><defs data-marko-key=""@defs s0-2-54-0-9-8-4-4-0-3-0-4[6]-1-0-1-6-1-7-33-1-1-2-2-0""><symbol viewbox=""0 0 16 16"" id=""icon-star-half-16-colored""><path fill=""#707070"" fill-rule=""evenodd"" d=""M8 1.495c.272 0 .512.175.596.433l1.359 4.207h4.415a.625.625 0 0 1 .346 1.145l-3.55 2.364 1.366 4.036a.625.625 0 0 1-.953.71l-3.578-2.528-3.58 2.528a.625.625 0 0 1-.953-.71l1.366-4.035-3.56-2.364a.625.625 0 0 1 .346-1.146h4.435l1.35-4.206A.625.625 0 0 1 8 1.495Zm.003 2.663L6.966 7.385H3.69l2.635 1.75-1.058 3.127L8 10.332l2.731 1.93-1.058-3.126 2.63-1.75H9.045L8.003 4.157Z"" clip-rule=""evenodd""></path><path fill=""#191919"" d=""M7.406 1.929A.625.625 0 0 1 8 1.495v10.367L4.42 14.39a.625.625 0 0 1-.952-.71l1.366-4.035-3.56-2.364a.625.625 0 0 1 .346-1.146h4.435l1.35-4.206Z""></path></symbol></defs><use href=""#icon-star-half-16-colored""></use></svg><!--M_fbd99063/--><span class=""clipped"">4.5 out of 5 stars.</span></div>","<span class=""su-styled-text primary default"">Dell Touchscreen Chromebook 3100 11"" Celeron 1.1GHz/4GB/32GB P30T001 w/Warranty</span> <span class=""su-styled-text secondary default"">Good - Refurbished · </span> <span class=""su-styled-text secondary default"">Dell</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$55.34</span> <span class=""su-styled-text secondary strikethrough large"">$160.00</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$122.23 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary bold large"">1,108 sold</span> <span class=""su-styled-text primary large"">tekdeals </span> <span class=""su-styled-text primary large"">99.9% positive (73.3K)</span> <span class=""su-styled-text default"">eBay Refurbished</span>"
"<span class=""su-styled-text primary default"">HP EliteBook 845 G8 14"" FHD AMD Ryzen 5 PRO 5650U 16GB 256GB SSD W11P Laptop SL</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$278.00</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$188.55 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary bold large"">45 sold</span>",,"<span class=""su-styled-text primary default"">HP EliteBook 845 G8 14"" FHD AMD Ryzen 5 PRO 5650U 16GB 256GB SSD W11P Laptop SL</span> <span class=""su-styled-text secondary default"">Certified - Refurbished · </span> <span class=""su-styled-text secondary default"">HP</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$278.00</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">+$188.55 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary bold large"">45 sold</span> <span class=""su-styled-text primary large"">prycedin </span> <span class=""su-styled-text primary large"">99.4% positive (78.9K)</span> <span class=""su-styled-text default"">eBay Refurbished</span>"
"<span class=""su-styled-text primary default"">Dell Inspiron 15 5565 Laptop AMD A12-9700P, 2.50GHz, 1TB SSD, 12GB RAM, Win 10</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$155.00</span> <span class=""su-styled-text secondary large"">or Best Offer</span> <span class=""su-styled-text secondary large"">Free International Shipping</span> <span class=""su-styled-text secondary large"">Located in United States</span>",,"<span class=""su-styled-text primary default"">Dell Inspiron 15 5565 Laptop AMD A12-9700P, 2.50GHz, 1TB SSD, 12GB RAM, Win 10</span> <span class=""su-styled-text secondary default"">Pre-Owned · </span> <span class=""su-styled-text secondary default"">Dell · </span> <span class=""su-styled-text secondary default"">12 GB</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$155.00</span> <span class=""su-styled-text secondary large"">or Best Offer</span> <span class=""su-styled-text secondary large"">Free International Shipping</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary large"">benbruene </span> <span class=""su-styled-text primary large"">100% positive (49)</span>"
"<span class=""su-styled-text primary default"">Panasonic Let's Note SZ6 CF-SZ6 i5-7300U 8GB RAM 256GB SSD Laptop touch w/ AC</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$131.99</span> <span class=""su-styled-text secondary large"">or Best Offer</span> <span class=""su-styled-text secondary large"">Free International Shipping</span> <span class=""su-styled-text secondary large"">Located in Japan</span> <span class=""su-styled-text secondary large"">Free returns</span> <span class=""su-styled-text negative bold large"">Almost gone</span> <span class=""su-styled-text primary bold large"">88 sold</span>",,"<span class=""su-styled-text primary default"">Panasonic Let's Note SZ6 CF-SZ6 i5-7300U 8GB RAM 256GB SSD Laptop touch w/ AC</span> <span class=""su-styled-text secondary default"">Pre-Owned · </span> <span class=""su-styled-text secondary default"">Panasonic · </span> <span class=""su-styled-text secondary default"">256 GB</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$131.99</span> <span class=""su-styled-text secondary large"">or Best Offer</span> <span class=""su-styled-text secondary large"">Free International Shipping</span> <span class=""su-styled-text secondary large"">Located in Japan</span> <span class=""su-styled-text secondary large"">Free returns</span> <span class=""su-styled-text negative bold large"">Almost gone</span> <span class=""su-styled-text primary bold large"">88 sold</span> <span class=""su-styled-text primary large"">nakanoyama-jpshop </span> <span class=""su-styled-text primary large"">99% positive (2.6K)</span>"
"<span class=""su-styled-text primary bold default"">DELL Latitude Laptop: Intel i5! 16GB RAM! 256GB SSD! Zorin Core Edition!</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$143.00</span> <span class=""su-styled-text secondary strikethrough large"">$243.00</span> <span class=""su-styled-text secondary large"">or Best Offer</span> <span class=""su-styled-text secondary large"">+$157.50 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary bold large"">Last one</span> <span class=""su-styled-text primary bold large"">671 sold</span>",,"<span class=""su-styled-text primary bold default"">DELL Latitude Laptop: Intel i5! 16GB RAM! 256GB SSD! Zorin Core Edition!</span> <span class=""su-styled-text secondary default"">Stop Planned Obsolescence w Zorin OS! 1 Year Warranty!</span> <span class=""su-styled-text secondary default"">Good - Refurbished · </span> <span class=""su-styled-text secondary default"">Dell</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$143.00</span> <span class=""su-styled-text secondary strikethrough large"">$243.00</span> <span class=""su-styled-text secondary large"">or Best Offer</span> <span class=""su-styled-text secondary large"">+$157.50 delivery</span> <span class=""su-styled-text secondary large"">Located in United States</span> <span class=""su-styled-text primary bold large"">Last one</span> <span class=""su-styled-text primary bold large"">671 sold</span> <span class=""su-styled-text primary large"">rinuvo </span> <span class=""su-styled-text primary large"">99.7% positive (12.1K)</span> <span class=""su-styled-text default"">eBay Refurbished</span>"
"<span class=""su-styled-text primary default"">Panasonic let's note CF-SV7RDCVS Intel Core i5 8350U 1.70GHz RAM 8GB SSD 256GB</span>","<span class=""su-styled-text primary bold large-1 s-card__price"">$120.77</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">Free International Shipping</span> <span class=""su-styled-text secondary large"">Located in Japan</span> <span class=""su-styled-text secondary large"">Free returns</span> <span class=""su-styled-text negative bold large"">Last one</span> <span class=""su-styled-text primary bold large"">8 sold</span>",,"<span class=""su-styled-text primary default"">Panasonic let's note CF-SV7RDCVS Intel Core i5 8350U 1.70GHz RAM 8GB SSD 256GB</span> <span class=""su-styled-text secondary default"">Pre-Owned · </span> <span class=""su-styled-text secondary default"">Panasonic</span> <span class=""su-styled-text primary bold large-1 s-card__price"">$120.77</span> <span class=""su-styled-text secondary large"">Buy It Now</span> <span class=""su-styled-text secondary large"">Free International Shipping</span> <span class=""su-styled-text secondary large"">Located in Japan</span> <span class=""su-styled-text secondary large"">Free returns</span> <span class=""su-styled-text negative bold large"">Last one</span> <span class=""su-styled-text primary bold large"">8 sold</span> <span class=""su-styled-text primary large"">yorozu_japan </span> <span class=""su-styled-text primary large"">99.6% positive (7K)</span>"
