v,vw,o,c,h,l,t,n
14825.0,211.4852,211.4,211.62,211.69,211.4,1754035200000,227
6849.0,211.7894,211.63,211.87,211.93,211.63,1754035260000,202
3638.0,211.7986,211.86,211.8,211.86,211.7,1754035320000,204
4324.0,211.7057,211.78,211.64,211.78,211.63,1754035380000,222
2050.0,211.6316,211.62,211.59,211.63,211.59,1754035440000,113
4062.0,211.6088,211.52,211.63,211.64,211.52,1754035500000,109
4767.0,211.5817,211.65,211.65,211.65,211.49,1754035560000,127
842.0,211.7495,211.81,211.81,211.81,211.81,1754035620000,53
6688.0,211.6789,211.68,211.6,211.69,211.6,1754035680000,123
2959.0,211.6975,211.7,211.67,211.72,211.67,1754035740000,96
18601.0,211.4407,211.67,211.49,211.69,211.3,1754035800000,278
4717.0,211.5063,211.38,211.54,211.58,211.38,1754035860000,146
4562.0,211.5056,211.52,211.6,211.6,211.44,1754035920000,162
2612.0,211.5374,211.57,211.51,211.58,211.51,1754035980000,87
2301.0,211.5811,211.57,211.54,211.57,211.54,1754036040000,87
2761.0,211.6622,211.56,211.72,211.72,211.56,1754036100000,117
3276.0,211.7529,211.73,211.72,211.8,211.72,1754036160000,98
3329.0,211.7667,211.78,211.72,211.82,211.72,1754036220000,111
1512.0,211.7088,211.71,211.67,211.74,211.67,1754036340000,45
2621.0,211.673,211.67,211.67,211.67,211.67,1754036400000,67
1308.0,211.6231,211.71,211.65,211.71,211.6,1754036460000,51
9910.0,211.5106,211.54,211.31,211.7,211.31,1754036520000,166
715.0,211.333,211.31,211.31,211.31,211.31,1754036580000,27
8198.0,211.3517,211.41,211.31,211.41,211.26,1754036640000,133
2431.0,211.3325,211.35,211.3,211.35,211.3,1754036700000,97
4155.0,211.2404,211.24,211.21,211.24,211.21,1754036760000,174
3547.0,211.0766,211.05,211.17,211.17,211.02,1754036820000,100
3841.0,211.0935,211.07,211.05,211.17,211.05,1754036880000,87
3534.0,211.0284,211.02,211.01,211.02,211.01,1754036940000,98
6052.0,211.1112,211.02,211.09,211.16,211.01,1754037000000,163
