v,vw,o,c,h,l,t,n
55740731.0,244.3303,248.93,243.85,249.1,241.8201,1735794000000,685448
40244114.0,243.0805,243.36,243.36,244.18,241.89,1735880400000,493786
45045571.0,245.1726,244.31,245.0,247.33,243.2,1736139600000,493920
40855960.0,242.9459,242.98,242.21,245.55,241.35,1736226000000,462887
37628940.0,242.2995,241.92,242.7,243.7123,240.05,1736312400000,406916
61710856.0,236.6061,240.01,236.85,240.16,233.0,1736485200000,685976
49630725.0,232.7529,233.53,234.4,234.67,229.72,1736744400000,561231
39435294.0,233.8731,234.75,233.28,236.12,232.472,1736830800000,436333
39831969.0,237.58,234.635,237.87,238.96,234.43,1736917200000,418804
71759052.0,230.4965,237.35,228.26,238.01,228.03,1737003600000,786112
68488301.0,230.4569,232.115,229.98,232.29,228.48,1737090000000,579302
98070429.0,221.6956,224.0,222.64,224.42,219.38,1737435600000,1220197
64126500.0,222.8221,219.79,223.83,224.12,219.79,1737522000000,683037
60234760.0,224.1093,224.74,223.66,227.03,222.3,1737608400000,619806
54697907.0,223.1447,224.78,222.78,225.63,221.41,1737694800000,579473
94863418.0,228.8379,224.02,229.86,232.15,223.98,1737954000000,1008209
75707569.0,237.4845,230.85,238.26,240.19,230.81,1738040400000,788818
45486100.0,237.4856,234.12,239.36,239.855,234.01,1738126800000,515214
55658279.0,238.9601,238.665,237.59,240.79,237.21,1738213200000,636380
101075128.0,238.5565,247.19,236.0,247.19,233.44,1738299600000,936710
73063301.0,228.3039,229.99,228.01,231.83,225.7,1738558800000,851664
45067301.0,231.2105,227.25,232.8,233.13,226.65,1738645200000,497328
39664989.0,230.8247,228.53,232.47,232.67,228.27,1738731600000,445631
29925349.0,232.404,231.285,233.22,233.8,230.425,1738818000000,375401
39707224.0,229.1297,232.6,227.63,234.0,227.26,1738904400000,488184
33115645.0,228.4505,229.57,227.65,230.585,227.2,1739163600000,398259
53718362.0,232.4502,228.2,232.62,235.23,228.13,1739250000000,552127
45243292.0,235.0413,231.2,236.87,236.96,230.68,1739336400000,486475
53614054.0,240.3233,236.91,241.53,242.3399,235.57,1739422800000,531132
40896227.0,244.0539,241.25,244.6,245.55,240.99,1739509200000,481732
48822491.0,244.1423,244.15,244.47,245.18,241.84,1739854800000,486720
32204215.0,244.6863,244.66,244.87,246.01,243.1604,1739941200000,383453
32316907.0,245.6383,244.94,245.83,246.78,244.29,1740027600000,405771
53197431.0,246.3756,245.95,245.55,248.69,245.22,1740114000000,508398
51326396.0,247.2414,244.925,247.1,248.86,244.42,1740373200000,593130
48013272.0,247.4765,248.0,247.04,250.0,244.91,1740459600000,574045
44433564.0,241.6568,244.33,240.36,244.98,239.13,1740546000000,557242
41153639.0,239.4953,239.41,237.3,242.46,237.06,1740632400000,503479
56833360.0,239.5113,236.95,241.84,242.09,230.2,1740718800000,572585
47183985.0,239.9029,241.79,238.03,244.0272,236.112,1740978000000,557039
53798062.0,237.5186,237.705,235.93,240.07,234.68,1741064400000,685400
47227643.0,234.0871,235.42,235.74,236.55,229.23,1741150800000,558645
