price,bedrooms,per_month
454995.0,4.0,3013.0
220000.0,3.0,2072.0
309000.0,3.0,1938.0
3500000.0,5.0,34108.0
600000.0,4.0,5298.0
235000.0,1.0,1650.0
750000.0,3.0,5855.0
375000.0,4.0,2403.0
700000.0,2.0,4756.0
775000.0,3.0,5127.0
275000.0,3.0,1666.0
595000.0,3.0,4059.0
725000.0,5.0,4872.0
565000.0,2.0,4209.0
359900.0,3.0,2937.0
1550000.0,4.0,10502.0
450000.0,2.0,4161.0
725000.0,2.0,5079.0
615000.0,2.0,4470.0
459000.0,2.0,4486.0
435000.0,2.0,5029.0
149000.0,3.0,1448.0
639000.0,6.0,4130.0
500000.0,7.0,3332.0
785000.0,2.0,8225.0
475000.0,2.0,3474.0
825000.0,9.0,4563.0
389900.0,6.0,2631.0
189900.0,1.0,1723.0
2999999.0,6.0,18533.0
289900.0,4.0,1687.0
375000.0,2.0,2695.0
349900.0,5.0,2365.0
325000.0,2.0,2649.0
799900.0,5.0,5547.0
475000.0,3.0,3088.0
505000.0,3.0,3336.0
674900.0,6.0,4648.0
79900.0,2.0,627.0
500000.0,2.0,4065.0
550000.0,3.0,3890.0
1250000.0,5.0,8197.0
1500000.0,3.0,9800.0
299000.0,1.0,3119.0
179000.0,1.0,1815.0
279000.0,1.0,2551.0
420000.0,2.0,3569.0
390000.0,3.0,3195.0
224000.0,1.0,2327.0
499000.0,2.0,4264.0
299999.0,4.0,1980.0
2300000.0,5.0,15202.0
60000.0,5.0,394.0
1125000.0,5.0,6483.0
870000.0,4.0,5817.0
269000.0,1.0,2982.0
315000.0,3.0,2378.0
1395000.0,8.0,9760.0
635000.0,5.0,3895.0
185000.0,3.0,1765.0
369000.0,5.0,2165.0
280000.0,3.0,2776.0
295000.0,1.0,3070.0
1799000.0,6.0,11775.0
320000.0,3.0,2398.0
349000.0,2.0,2842.0
259995.0,2.0,2152.0
175000.0,3.0,1725.0
,2.0,0.0
162000.0,3.0,990.0
650000.0,2.0,4966.0
1129000.0,4.0,7957.0
215000.0,4.0,1397.0
515000.0,2.0,4773.0
659000.0,4.0,4471.0
624900.0,3.0,5217.0
795000.0,3.0,5834.0
349000.0,1.0,2998.0
1675000.0,3.0,12815.0
570000.0,2.0,4148.0
585000.0,3.0,3864.0
549000.0,3.0,3724.0
379500.0,1.0,2732.0
709000.0,4.0,4048.0
2750000.0,3.0,22667.0
1299900.0,4.0,9079.0
175000.0,4.0,999.0
370000.0,1.0,2896.0
825000.0,3.0,5903.0
190500.0,1.0,2055.0
725000.0,2.0,5353.0
155000.0,1.0,1466.0
885000.0,3.0,6440.0
600000.0,3.0,4396.0
799000.0,3.0,6196.0
625000.0,2.0,4892.0
265000.0,4.0,1657.0
3000000.0,6.0,20816.0
925000.0,10.0,6067.0
285000.0,2.0,2137.0
345000.0,3.0,2273.0
599000.0,2.0,4514.0
1050000.0,3.0,6904.0
3995000.0,7.0,26416.0
99000.0,2.0,630.0
290000.0,1.0,2623.0
799000.0,3.0,5528.0
849900.0,3.0,6072.0
419000.0,3.0,3269.0
379995.0,2.0,2991.0
1195000.0,3.0,8200.0
849000.0,5.0,5471.0
1195000.0,3.0,8018.0
575000.0,2.0,4189.0
375000.0,1.0,3380.0
600000.0,3.0,5663.0
289900.0,5.0,1864.0
630000.0,2.0,5464.0
435000.0,2.0,3135.0
299000.0,3.0,1946.0
285000.0,2.0,2258.0
600000.0,2.0,4483.0
359000.0,4.0,2259.0
344900.0,2.0,2925.0
624888.0,3.0,5495.0
399900.0,2.0,2890.0
750000.0,2.0,5243.0
220000.0,2.0,1727.0
649000.0,3.0,4597.0
395000.0,2.0,3722.0
399000.0,2.0,2849.0
280000.0,4.0,1984.0
399000.0,3.0,2640.0
259900.0,3.0,1661.0
459000.0,3.0,3300.0
259900.0,3.0,1909.0
259900.0,3.0,1555.0
447500.0,2.0,4613.0
335000.0,2.0,2592.0
254900.0,2.0,2097.0
285000.0,1.0,2560.0
137000.0,3.0,1513.0
319000.0,5.0,2042.0
850000.0,9.0,5459.0
599000.0,3.0,4612.0
775000.0,3.0,5429.0
750000.0,5.0,4558.0
2300000.0,5.0,14666.0
849900.0,4.0,5605.0
1495000.0,3.0,10181.0
235000.0,1.0,1582.0
1200000.0,4.0,7702.0
479900.0,8.0,3044.0
184900.0,2.0,1592.0
145000.0,1.0,1552.0
725000.0,3.0,4957.0
545000.0,3.0,4091.0
449999.0,5.0,2626.0
475000.0,2.0,3456.0
319000.0,1.0,3081.0
399999.0,4.0,2524.0
523000.0,1.0,4473.0
699000.0,2.0,4931.0
590000.0,2.0,5036.0
485000.0,1.0,4282.0
230000.0,1.0,1617.0
291900.0,6.0,1779.0
1200000.0,16.0,7333.0
229900.0,5.0,1356.0
575000.0,2.0,5415.0
1049000.0,3.0,9534.0
89900.0,2.0,852.0
2475000.0,5.0,15585.0
995000.0,3.0,9936.0
239000.0,3.0,2172.0
220000.0,1.0,2262.0
374900.0,6.0,2300.0
149900.0,3.0,927.0
350000.0,3.0,2304.0
330000.0,2.0,2126.0
650000.0,4.0,4182.0
419999.0,2.0,3678.0
318800.0,5.0,2086.0
175900.0,1.0,1991.0
1900000.0,15.0,12783.0
59900.0,2.0,616.0
58000.0,3.0,324.0
1050000.0,41.0,6986.0
274900.0,4.0,1648.0
354900.0,2.0,3638.0
139900.0,1.0,1110.0
250000.0,1.0,2147.0
779000.0,2.0,6318.0
234900.0,2.0,1860.0
675000.0,2.0,5611.0
290000.0,1.0,2492.0
690000.0,5.0,4426.0
1050000.0,13.0,6986.0
124900.0,4.0,772.0
589900.0,3.0,4245.0
345000.0,2.0,2507.0
186000.0,5.0,1170.0
319900.0,5.0,1893.0
299900.0,3.0,1918.0
550000.0,7.0,3385.0
350000.0,2.0,2820.0
75000.0,1.0,1090.0
699000.0,2.0,5308.0
330000.0,3.0,2096.0
399900.0,3.0,2581.0
159900.0,3.0,985.0
699000.0,5.0,3934.0
700000.0,2.0,5381.0
949900.0,3.0,6735.0
229900.0,4.0,1315.0
739900.0,4.0,5105.0
339000.0,5.0,2065.0
374999.0,4.0,2253.0
324900.0,2.0,2172.0
720000.0,5.0,5028.0
139000.0,2.0,864.0
599900.0,5.0,3626.0
659000.0,2.0,4806.0
425000.0,3.0,3037.0
160000.0,2.0,1243.0
439900.0,4.0,2987.0
549900.0,4.0,3769.0
539000.0,5.0,3432.0
569000.0,7.0,3787.0
239999.0,3.0,1604.0
400000.0,2.0,3398.0
275000.0,2.0,2555.0
299000.0,2.0,2329.0
1200000.0,4.0,9140.0
475000.0,3.0,3057.0
625000.0,3.0,4654.0
400000.0,3.0,2924.0
850000.0,3.0,6490.0
140000.0,3.0,1082.0
199900.0,2.0,1609.0
560000.0,5.0,3474.0
475000.0,2.0,3489.0
3998000.0,6.0,26175.0
329000.0,2.0,2531.0
590000.0,4.0,3725.0
460000.0,2.0,3712.0
599000.0,3.0,4176.0
375000.0,3.0,2790.0
185000.0,1.0,2207.0
450000.0,4.0,3060.0
