id,adult,title,video,overview,softcore,genre_ids,popularity,vote_count,poster_path,release_date,vote_average,backdrop_path,original_title,original_language
347688,False,Scooby-Doo! and KISS: Rock and Roll Mystery,False,"Get ready to Rock! Scooby-Doo and the Mystery Inc. Gang team up with the one and only KISS in this all-new, out-of-this-world adventure! We join the Gang at KISS World – the all-things-KISS theme park, as they investigate a series of strange hauntings. With help from KISS, they discover that the Crimson Witch has returned to summon The Destroyer from the alternate dimension of Kissteria! The evil duos ghastly plan, to destroy the earth! Can the Gang's cunning and KISS's power of rock save the day?!",False,"[10751, 16, 35, 9648]",2.2542,343,/nTkQZPXZl9yx3tfPS9TSDZBdhHC.jpg,2015-07-09,8.0,/asiuMK2TcJGhbcn2dvHF2nLqpqw.jpg,Scooby-Doo! and KISS: Rock and Roll Mystery,en
524,False,Casino,False,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",False,"[80, 18]",8.5085,6528,/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg,1995-11-22,7.996,/iZGiMD0p1M2AOmzKknFo5bkuz94.jpg,Casino,en
1007757,False,Swapped,False,"A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.",False,"[12, 16, 10751, 14]",314.3613,1406,/tHhxWxge06goXU6ZQH1hj7vK8Hd.jpg,2026-05-01,8.973,/zMwhWailP1WY7sb6AoE6b8ugoy.jpg,Swapped,en
278,False,The Shawshank Redemption,False,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",False,"[18, 80]",73.6464,30409,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,1994-09-23,8.721,/zfbjgQE1uSd9wiPTX4VzsLi0rGG.jpg,The Shawshank Redemption,en
238,False,The Godfather,False,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",False,"[18, 80]",49.9302,22947,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,1972-03-14,8.687,/tSPT36ZKlP2WVHJLM4cQPLSzv3b.jpg,The Godfather,en
687163,False,Project Hail Mary,False,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.",False,"[878, 12]",371.0794,4155,/yihdXomYb5kTeSivtFndMy5iDmf.jpg,2026-03-15,8.634,/8Tfys3mDZVp4tNoH2ktm06a0Tau.jpg,Project Hail Mary,en
240,False,The Godfather Part II,False,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",False,"[18, 80]",28.6549,13910,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,1974-12-20,8.571,/kGzFbGhp99zva6oZODW5atUtnqi.jpg,The Godfather Part II,en
424,False,Schindler's List,False,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,False,"[18, 36, 10752]",33.4511,17458,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,1993-12-15,8.569,/zb6fM1CX41D9rF9hdgclu0peUmy.jpg,Schindler's List,en
389,False,12 Angry Men,False,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",False,[18],22.1648,9983,/zhG3vKWyDRaZYoaww1UVAi29T9h.jpg,1957-04-10,8.6,/w4bTBXcqXc2TUyS5Fc4h67uWbPn.jpg,12 Angry Men,en
129,False,Spirited Away,False,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",False,"[16, 10751, 14]",36.042,18314,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,2001-07-20,8.534,/dyJvKsNs2KP8qQnAXbRwDjblViy.jpg,千と千尋の神隠し,ja
