Age,Sex,Fare,Name,Cabin,Parch,SibSp,Pclass,Ticket,Embarked,Survived,PassengerId
22.0,male,7.25,"Braund, Mr. Owen Harris",,0,1,3,A/5 21171,S,0,1
38.0,female,71.2833,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",C85,0,1,1,PC 17599,C,1,2
26.0,female,7.925,"Heikkinen, Miss. Laina",,0,0,3,STON/O2. 3101282,S,1,3
35.0,female,53.1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",C123,0,1,1,113803,S,1,4
35.0,male,8.05,"Allen, Mr. William Henry",,0,0,3,373450,S,0,5
,male,8.4583,"Moran, Mr. James",,0,0,3,330877,Q,0,6
54.0,male,51.8625,"McCarthy, Mr. Timothy J",E46,0,0,1,17463,S,0,7
2.0,male,21.075,"Palsson, Master. Gosta Leonard",,1,3,3,349909,S,0,8
27.0,female,11.1333,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",,2,0,3,347742,S,1,9
14.0,female,30.0708,"Nasser, Mrs. Nicholas (Adele Achem)",,0,1,2,237736,C,1,10
4.0,female,16.7,"Sandstrom, Miss. Marguerite Rut",G6,1,1,3,PP 9549,S,1,11
58.0,female,26.55,"Bonnell, Miss. Elizabeth",C103,0,0,1,113783,S,1,12
20.0,male,8.05,"Saundercock, Mr. William Henry",,0,0,3,A/5. 2151,S,0,13
39.0,male,31.275,"Andersson, Mr. Anders Johan",,5,1,3,347082,S,0,14
14.0,female,7.8542,"Vestrom, Miss. Hulda Amanda Adolfina",,0,0,3,350406,S,0,15
55.0,female,16.0,"Hewlett, Mrs. (Mary D Kingcome) ",,0,0,2,248706,S,1,16
2.0,male,29.125,"Rice, Master. Eugene",,1,4,3,382652,Q,0,17
,male,13.0,"Williams, Mr. Charles Eugene",,0,0,2,244373,S,1,18
31.0,female,18.0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",,0,1,3,345763,S,0,19
,female,7.225,"Masselmani, Mrs. Fatima",,0,0,3,2649,C,1,20
35.0,male,26.0,"Fynney, Mr. Joseph J",,0,0,2,239865,S,0,21
34.0,male,13.0,"Beesley, Mr. Lawrence",D56,0,0,2,248698,S,1,22
15.0,female,8.0292,"McGowan, Miss. Anna ""Annie""",,0,0,3,330923,Q,1,23
28.0,male,35.5,"Sloper, Mr. William Thompson",A6,0,0,1,113788,S,1,24
8.0,female,21.075,"Palsson, Miss. Torborg Danira",,1,3,3,349909,S,0,25
38.0,female,31.3875,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",,5,1,3,347077,S,1,26
,male,7.225,"Emir, Mr. Farred Chehab",,0,0,3,2631,C,0,27
19.0,male,263.0,"Fortune, Mr. Charles Alexander",C23 C25 C27,2,3,1,19950,S,0,28
