views,rank,view_history,type,title,displaytitle,wikibase_item,pageid,lang,dir,revision,tid,timestamp,description,description_source,extract,extract_html,normalizedtitle,namespace.id,namespace.text,titles.canonical,titles.normalized,titles.display,thumbnail.source,thumbnail.width,thumbnail.height,originalimage.source,originalimage.width,originalimage.height,coordinates.lat,coordinates.lon,content_urls.desktop.page,content_urls.desktop.revisions,content_urls.desktop.edit,content_urls.desktop.talk,content_urls.mobile.page,content_urls.mobile.revisions,content_urls.mobile.edit,content_urls.mobile.talk
295851,4,"[{'date': '2026-05-15Z', 'views': 77889}, {'date': '2026-05-16Z', 'views': 167907}, {'date': '2026-05-17Z', 'views': 204816}, {'date': '2026-05-18Z', 'views': 235633}, {'date': '2026-05-19Z', 'views': 295851}]",standard,Murder_of_Dominic_Russo_and_Davion_Flanagan,"<span lang=""en"" dir=""ltr""><span class=""mw-page-title-main"">Murder of Dominic Russo and Davion Flanagan</span></span>",Q139899727,80945212,en,ltr,1356327215,47739cf5-5975-11f1-a7e7-8f3fabab03ee,2026-05-27T02:39:27Z,2022 American double murder,local,"The murder of Dominic Russo and Davion Flanagan occurred on July 31, 2022, at approximately 5:30 a.m, when Mackenzie Shirilla intentionally crashed her vehicle into a brick wall in Strongsville, Ohio, killing two passengers: her boyfriend, Dominic Russo, and their friend, Davion Flanagan.","<p>The <b>murder of Dominic Russo and Davion Flanagan</b> occurred on July 31, 2022, at approximately 5:30 a.m, when Mackenzie Shirilla intentionally crashed her vehicle into a brick wall in Strongsville, Ohio, killing two passengers: her boyfriend, Dominic Russo, and their friend, Davion Flanagan.</p>",Murder of Dominic Russo and Davion Flanagan,0,,Murder_of_Dominic_Russo_and_Davion_Flanagan,Murder of Dominic Russo and Davion Flanagan,"<span lang=""en"" dir=""ltr""><span class=""mw-page-title-main"">Murder of Dominic Russo and Davion Flanagan</span></span>",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Mackenzie_Shirilla_car.png/330px-Mackenzie_Shirilla_car.png,330.0,249.0,https://upload.wikimedia.org/wikipedia/commons/6/6d/Mackenzie_Shirilla_car.png,405.0,305.0,41.32641,-81.85153,https://en.wikipedia.org/wiki/Murder_of_Dominic_Russo_and_Davion_Flanagan,https://en.wikipedia.org/wiki/Murder_of_Dominic_Russo_and_Davion_Flanagan?action=history,https://en.wikipedia.org/wiki/Murder_of_Dominic_Russo_and_Davion_Flanagan?action=edit,https://en.wikipedia.org/wiki/Talk:Murder_of_Dominic_Russo_and_Davion_Flanagan,https://en.wikipedia.org/wiki/Murder_of_Dominic_Russo_and_Davion_Flanagan,https://en.wikipedia.org/wiki/Special:History/Murder_of_Dominic_Russo_and_Davion_Flanagan,https://en.wikipedia.org/wiki/Murder_of_Dominic_Russo_and_Davion_Flanagan?action=edit,https://en.wikipedia.org/wiki/Talk:Murder_of_Dominic_Russo_and_Davion_Flanagan
233083,5,"[{'date': '2026-05-15Z', 'views': 12232}, {'date': '2026-05-16Z', 'views': 44740}, {'date': '2026-05-17Z', 'views': 16984}, {'date': '2026-05-18Z', 'views': 20455}, {'date': '2026-05-19Z', 'views': 233083}]",standard,Victor_Wembanyama,"<span lang=""en"" dir=""ltr""><span class=""mw-page-title-main"">Victor Wembanyama</span></span>",Q72941595,62201726,en,ltr,1356372143,74e13960-59b7-11f1-853a-b69a86240705,2026-05-27T10:33:10Z,French basketball player (born 2004),local,"Victor Nonga Wembanyama-de Fautereau-Vassel, nicknamed ""Wemby"" and ""the Alien"", is a French professional basketball player for the San Antonio Spurs of the National Basketball Association (NBA). He was selected first overall by the Spurs in the 2023 NBA draft and is considered one of the best basketball prospects ever due to his rare combination of height, agility, and skills.","<p><b>Victor Nonga Wembanyama-de Fautereau-Vassel</b>, nicknamed ""<b>Wemby</b>"" and ""<b>the Alien</b>"", is a French professional basketball player for the San Antonio Spurs of the National Basketball Association (NBA). He was selected first overall by the Spurs in the 2023 NBA draft and is considered one of the best basketball prospects ever due to his rare combination of height, agility, and skills.</p>",Victor Wembanyama,0,,Victor_Wembanyama,Victor Wembanyama,"<span lang=""en"" dir=""ltr""><span class=""mw-page-title-main"">Victor Wembanyama</span></span>",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Victor_Wembanyama_San_Antonio_Spurs_2024.jpg/330px-Victor_Wembanyama_San_Antonio_Spurs_2024.jpg,330.0,440.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Victor_Wembanyama_San_Antonio_Spurs_2024.jpg/1280px-Victor_Wembanyama_San_Antonio_Spurs_2024.jpg,1536.0,2048.0,,,https://en.wikipedia.org/wiki/Victor_Wembanyama,https://en.wikipedia.org/wiki/Victor_Wembanyama?action=history,https://en.wikipedia.org/wiki/Victor_Wembanyama?action=edit,https://en.wikipedia.org/wiki/Talk:Victor_Wembanyama,https://en.wikipedia.org/wiki/Victor_Wembanyama,https://en.wikipedia.org/wiki/Special:History/Victor_Wembanyama,https://en.wikipedia.org/wiki/Victor_Wembanyama?action=edit,https://en.wikipedia.org/wiki/Talk:Victor_Wembanyama
184752,7,"[{'date': '2026-05-15Z', 'views': 506}, {'date': '2026-05-16Z', 'views': 470}, {'date': '2026-05-17Z', 'views': 520}, {'date': '2026-05-18Z', 'views': 76936}, {'date': '2026-05-19Z', 'views': 184752}]",standard,Mark_Fuhrman,"<span lang=""en"" dir=""ltr""><span class=""mw-page-title-main"">Mark Fuhrman</span></span>",Q3431786,217346,en,ltr,1355946886,0766b88d-57b7-11f1-af35-a935837e3209,2026-05-24T21:25:04Z,American police detective (1952–2026),local,"Mark Fuhrman was an American law enforcement officer, author, and commentator. As a detective for the Los Angeles Police Department (LAPD), he became known for his role in the Nicole Brown Simpson and Ron Goldman murder investigation and the subsequent prosecution of O. J. Simpson. After his retirement from the LAPD, Fuhrman wrote several true crime books and hosted talk radio.","<p><b>Mark Fuhrman</b> was an American law enforcement officer, author, and commentator. As a detective for the Los Angeles Police Department (LAPD), he became known for his role in the Nicole Brown Simpson and Ron Goldman murder investigation and the subsequent prosecution of O. J. Simpson. After his retirement from the LAPD, Fuhrman wrote several true crime books and hosted talk radio.</p>",Mark Fuhrman,0,,Mark_Fuhrman,Mark Fuhrman,"<span lang=""en"" dir=""ltr""><span class=""mw-page-title-main"">Mark Fuhrman</span></span>",https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Mark_Fuhrman_2008_%283x4_cropped%29.jpg/330px-Mark_Fuhrman_2008_%283x4_cropped%29.jpg,330.0,437.0,https://upload.wikimedia.org/wikipedia/commons/4/44/Mark_Fuhrman_2008_%283x4_cropped%29.jpg,407.0,539.0,,,https://en.wikipedia.org/wiki/Mark_Fuhrman,https://en.wikipedia.org/wiki/Mark_Fuhrman?action=history,https://en.wikipedia.org/wiki/Mark_Fuhrman?action=edit,https://en.wikipedia.org/wiki/Talk:Mark_Fuhrman,https://en.wikipedia.org/wiki/Mark_Fuhrman,https://en.wikipedia.org/wiki/Special:History/Mark_Fuhrman,https://en.wikipedia.org/wiki/Mark_Fuhrman?action=edit,https://en.wikipedia.org/wiki/Talk:Mark_Fuhrman
181535,8,"[{'date': '2026-05-15Z', 'views': 199269}, {'date': '2026-05-16Z', 'views': 208919}, {'date': '2026-05-17Z', 'views': 210271}, {'date': '2026-05-18Z', 'views': 215416}, {'date': '2026-05-19Z', 'views': 181535}]",standard,Obsession_(2025_film),<i>Obsession</i> (2025 film),Q136163067,81007522,en,ltr,1356379024,79f7b8bc-59c2-11f1-af76-1e6e8b69d898,2026-05-27T11:52:03Z,2025 American horror film by Curry Barker,local,"Obsession is a 2025 American supernatural horror film written, directed, and edited by Curry Barker. The film follows Bear, a music store employee who buys a supernatural toy that grants him his wish for his childhood friend Nikki to fall in love with him, resulting in horrifying consequences. Cooper Tomlinson, Megan Lawless, and Andy Richter also appear in supporting roles.","<p><i><b>Obsession</b></i> is a 2025 American supernatural horror film written, directed, and edited by Curry Barker. The film follows Bear, a music store employee who buys a supernatural toy that grants him his wish for his childhood friend Nikki to fall in love with him, resulting in horrifying consequences. Cooper Tomlinson, Megan Lawless, and Andy Richter also appear in supporting roles.</p>",Obsession (2025 film),0,,Obsession_(2025_film),Obsession (2025 film),<i>Obsession</i> (2025 film),https://upload.wikimedia.org/wikipedia/en/0/05/Obsession_theatrical_poster.jpeg,260.0,385.0,https://upload.wikimedia.org/wikipedia/en/0/05/Obsession_theatrical_poster.jpeg,260.0,385.0,,,https://en.wikipedia.org/wiki/Obsession_(2025_film),https://en.wikipedia.org/wiki/Obsession_(2025_film)?action=history,https://en.wikipedia.org/wiki/Obsession_(2025_film)?action=edit,https://en.wikipedia.org/wiki/Talk:Obsession_(2025_film),https://en.wikipedia.org/wiki/Obsession_(2025_film),https://en.wikipedia.org/wiki/Special:History/Obsession_(2025_film),https://en.wikipedia.org/wiki/Obsession_(2025_film)?action=edit,https://en.wikipedia.org/wiki/Talk:Obsession_(2025_film)
159481,9,"[{'date': '2026-05-15Z', 'views': 585}, {'date': '2026-05-16Z', 'views': 626}, {'date': '2026-05-17Z', 'views': 602}, {'date': '2026-05-18Z', 'views': 164930}, {'date': '2026-05-19Z', 'views': 159481}]",standard,Tom_Kane,"<span lang=""en"" dir=""ltr""><span class=""mw-page-title-main"">Tom Kane</span></span>",Q2305700,1818874,en,ltr,1356320543,586cde66-596e-11f1-9d73-fd5585a09e29,2026-05-27T01:49:49Z,American voice actor (1962–2026),local,"Thomas Kane Roberts was an American voice actor. He was known for his work in animation and video games, most notably the Star Wars franchise, voicing established characters Yoda, Admiral Ackbar, Boba Fett, Qui-Gon Jinn, and C-3PO. Other notable roles include Professor Utonium in The Powerpuff Girls, Darwin Thornberry in The Wild Thornberrys, Mr. Herriman in Foster's Home for Imaginary Friends, and Woodhouse in Archer, taking the role over from George Coe following his death in 2015.","<p><b>Thomas Kane Roberts</b> was an American voice actor. He was known for his work in animation and video games, most notably the <i>Star Wars</i> franchise, voicing established characters Yoda, Admiral Ackbar, Boba Fett, Qui-Gon Jinn, and C-3PO. Other notable roles include Professor Utonium in <i>The Powerpuff Girls</i>, Darwin Thornberry in <i>The Wild Thornberrys</i>, Mr. Herriman in <i>Foster's Home for Imaginary Friends</i>, and Woodhouse in <i>Archer</i>, taking the role over from George Coe following his death in 2015.</p>",Tom Kane,0,,Tom_Kane,Tom Kane,"<span lang=""en"" dir=""ltr""><span class=""mw-page-title-main"">Tom Kane</span></span>",https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Tom_Kane_%2816727025965%29.jpg/330px-Tom_Kane_%2816727025965%29.jpg,330.0,443.0,https://upload.wikimedia.org/wikipedia/commons/0/04/Tom_Kane_%2816727025965%29.jpg,912.0,1225.0,,,https://en.wikipedia.org/wiki/Tom_Kane,https://en.wikipedia.org/wiki/Tom_Kane?action=history,https://en.wikipedia.org/wiki/Tom_Kane?action=edit,https://en.wikipedia.org/wiki/Talk:Tom_Kane,https://en.wikipedia.org/wiki/Tom_Kane,https://en.wikipedia.org/wiki/Special:History/Tom_Kane,https://en.wikipedia.org/wiki/Tom_Kane?action=edit,https://en.wikipedia.org/wiki/Talk:Tom_Kane
134999,10,"[{'date': '2026-05-15Z', 'views': 129596}, {'date': '2026-05-16Z', 'views': 119813}, {'date': '2026-05-17Z', 'views': 123576}, {'date': '2026-05-18Z', 'views': 136625}, {'date': '2026-05-19Z', 'views': 134999}]",standard,Deaths_in_2026,"<span lang=""en"" dir=""ltr""><span class=""mw-page-title-main"">Deaths in 2026</span></span>",Q134185145,81858235,en,ltr,1356384368,bd09565b-59c9-11f1-9fff-fc0f31cb52fa,2026-05-27T12:44:02Z,,local,"


The following notable deaths occurred in 2026. Names are reported under the date of death, in alphabetical order. A typical entry reports information in the following sequence:Name, age, country of citizenship at birth, subsequent nationality, what subject was noted for, cause of death, and a reference.","<p>


The following notable deaths occurred in 2026. Names are reported under the date of death, in alphabetical order. A typical entry reports information in the following sequence:</p><ul><li>Name, age, country of citizenship at birth, subsequent nationality, what subject was noted for, cause of death, and a reference.</li></ul>",Deaths in 2026,0,,Deaths_in_2026,Deaths in 2026,"<span lang=""en"" dir=""ltr""><span class=""mw-page-title-main"">Deaths in 2026</span></span>",,,,,,,,,https://en.wikipedia.org/wiki/Deaths_in_2026,https://en.wikipedia.org/wiki/Deaths_in_2026?action=history,https://en.wikipedia.org/wiki/Deaths_in_2026?action=edit,https://en.wikipedia.org/wiki/Talk:Deaths_in_2026,https://en.wikipedia.org/wiki/Deaths_in_2026,https://en.wikipedia.org/wiki/Special:History/Deaths_in_2026,https://en.wikipedia.org/wiki/Deaths_in_2026?action=edit,https://en.wikipedia.org/wiki/Talk:Deaths_in_2026
132835,11,"[{'date': '2026-05-15Z', 'views': 922}, {'date': '2026-05-16Z', 'views': 1401}, {'date': '2026-05-17Z', 'views': 1097}, {'date': '2026-05-18Z', 'views': 12580}, {'date': '2026-05-19Z', 'views': 132835}]",standard,Judy_Blume,"<span lang=""en"" dir=""ltr""><span class=""mw-page-title-main"">Judy Blume</span></span>",Q441214,16496,en,ltr,1355368594,f21e3265-5513-11f1-9fce-1ef280a71720,2026-05-21T12:52:38Z,American author (born 1938),local,"Judith Marcia Blume is an American writer of children's, young adult, and adult fiction. She began writing in 1959 and has published more than 26 novels. Among her best-known works are Superfudge (1980), Are You There God? It's Me, Margaret. (1970), Tales of a Fourth Grade Nothing (1972), Deenie (1973), Blubber (1974) and Double Fudge (2002). Blume's books have significantly contributed to children's and young adult literature. She was named one of the 100 most influential people in the world by Time magazine in 2023.","<p><b>Judith Marcia Blume</b> is an American writer of children's, young adult, and adult fiction. She began writing in 1959 and has published more than 26 novels. Among her best-known works are <i>Superfudge</i> (1980), <i>Are You There God? It's Me, Margaret.</i> (1970), <i>Tales of a Fourth Grade Nothing</i> (1972), <i>Deenie</i> (1973), <i>Blubber</i> (1974) and <i>Double Fudge</i> (2002). Blume's books have significantly contributed to children's and young adult literature. She was named one of the 100 most influential people in the world by <i>Time</i> magazine in 2023.</p>",Judy Blume,0,,Judy_Blume,Judy Blume,"<span lang=""en"" dir=""ltr""><span class=""mw-page-title-main"">Judy Blume</span></span>",https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/JudyBlume2009%28cropped%29.jpg/330px-JudyBlume2009%28cropped%29.jpg,330.0,369.0,https://upload.wikimedia.org/wikipedia/commons/1/18/JudyBlume2009%28cropped%29.jpg,799.0,893.0,,,https://en.wikipedia.org/wiki/Judy_Blume,https://en.wikipedia.org/wiki/Judy_Blume?action=history,https://en.wikipedia.org/wiki/Judy_Blume?action=edit,https://en.wikipedia.org/wiki/Talk:Judy_Blume,https://en.wikipedia.org/wiki/Judy_Blume,https://en.wikipedia.org/wiki/Special:History/Judy_Blume,https://en.wikipedia.org/wiki/Judy_Blume?action=edit,https://en.wikipedia.org/wiki/Talk:Judy_Blume
125442,12,"[{'date': '2026-05-15Z', 'views': 174712}, {'date': '2026-05-16Z', 'views': 186849}, {'date': '2026-05-17Z', 'views': 167871}, {'date': '2026-05-18Z', 'views': 157826}, {'date': '2026-05-19Z', 'views': 125442}]",standard,Karuppu_(film),<i>Karuppu</i> (film),Q131341662,78116767,en,ltr,1356363922,7f48052d-59a8-11f1-a271-39ab938278c0,2026-05-27T08:46:05Z,2026 Indian film by RJ Balaji,local,"Karuppu (transl. Black) is a 2026 Indian Tamil-language fantasy action drama film directed by RJ Balaji from a screenplay he co-wrote with Rathna Kumar, Ashwin Ravichandran, Rahul Raj, T. S. Gopi Krishnan and Karan Aravind Kumar. Produced by Dream Warrior Pictures, the film stars Suriya, Trisha Krishnan and Balaji, alongside Indrans, Natty Subramaniam, Swasika, Sshivada and Supreeth Reddy. In the film, the guardian deity Vettai Karuppu disguises himself as a lawyer to fight corruption in a court system that exploits a young girl awaiting a liver transplant.","<p><i><b>Karuppu</b></i> (<abbr>transl.</abbr> Black) is a 2026 Indian Tamil-language fantasy action drama film directed by RJ Balaji from a screenplay he co-wrote with Rathna Kumar, Ashwin Ravichandran, Rahul Raj, T. S. Gopi Krishnan and Karan Aravind Kumar. Produced by Dream Warrior Pictures, the film stars Suriya, Trisha Krishnan and Balaji, alongside Indrans, Natty Subramaniam, Swasika, Sshivada and Supreeth Reddy. In the film, the guardian deity Vettai Karuppu disguises himself as a lawyer to fight corruption in a court system that exploits a young girl awaiting a liver transplant.</p>",Karuppu (film),0,,Karuppu_(film),Karuppu (film),<i>Karuppu</i> (film),https://upload.wikimedia.org/wikipedia/en/a/a0/Karuppu_film_poster.jpg,258.0,387.0,https://upload.wikimedia.org/wikipedia/en/a/a0/Karuppu_film_poster.jpg,258.0,387.0,,,https://en.wikipedia.org/wiki/Karuppu_(film),https://en.wikipedia.org/wiki/Karuppu_(film)?action=history,https://en.wikipedia.org/wiki/Karuppu_(film)?action=edit,https://en.wikipedia.org/wiki/Talk:Karuppu_(film),https://en.wikipedia.org/wiki/Karuppu_(film),https://en.wikipedia.org/wiki/Special:History/Karuppu_(film),https://en.wikipedia.org/wiki/Karuppu_(film)?action=edit,https://en.wikipedia.org/wiki/Talk:Karuppu_(film)
122886,13,"[{'date': '2026-05-15Z', 'views': 1484}, {'date': '2026-05-16Z', 'views': 3633}, {'date': '2026-05-17Z', 'views': 5967}, {'date': '2026-05-18Z', 'views': 41796}, {'date': '2026-05-19Z', 'views': 122886}]",standard,Enzo_Maresca,"<span lang=""en"" dir=""ltr""><span class=""mw-page-title-main"">Enzo Maresca</span></span>",Q317282,5097613,en,ltr,1356251097,54b36ae3-5922-11f1-af31-f3acf7d1acba,2026-05-26T16:45:41Z,Italian football manager (born 1980),local,Enzo Maresca is an Italian professional football manager and former player.,<p><b>Enzo Maresca</b> is an Italian professional football manager and former player.</p>,Enzo Maresca,0,,Enzo_Maresca,Enzo Maresca,"<span lang=""en"" dir=""ltr""><span class=""mw-page-title-main"">Enzo Maresca</span></span>",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Enzo_maresca_chelsea_gent_2024_%28extracted%29.jpg/330px-Enzo_maresca_chelsea_gent_2024_%28extracted%29.jpg,330.0,498.0,https://upload.wikimedia.org/wikipedia/commons/a/a4/Enzo_maresca_chelsea_gent_2024_%28extracted%29.jpg,1145.0,1727.0,,,https://en.wikipedia.org/wiki/Enzo_Maresca,https://en.wikipedia.org/wiki/Enzo_Maresca?action=history,https://en.wikipedia.org/wiki/Enzo_Maresca?action=edit,https://en.wikipedia.org/wiki/Talk:Enzo_Maresca,https://en.wikipedia.org/wiki/Enzo_Maresca,https://en.wikipedia.org/wiki/Special:History/Enzo_Maresca,https://en.wikipedia.org/wiki/Enzo_Maresca?action=edit,https://en.wikipedia.org/wiki/Talk:Enzo_Maresca
121969,14,"[{'date': '2026-05-15Z', 'views': 126765}, {'date': '2026-05-16Z', 'views': 128723}, {'date': '2026-05-17Z', 'views': 141121}, {'date': '2026-05-18Z', 'views': 130476}, {'date': '2026-05-19Z', 'views': 121969}]",standard,Off_Campus,<i>Off Campus</i>,Q138862091,78044637,en,ltr,1356361119,61c47197-59a3-11f1-bcb8-5299c8633bd8,2026-05-27T08:09:28Z,American romantic drama television series,local,"Off Campus is an American romantic drama television series created by Louisa Levy for Amazon Prime Video. It is based on the Off-Campus book series by Elle Kennedy. The series premiered on May 13, 2026. In February 2026, ahead of the series premiere, the series was renewed for a second season.","<p><i><b>Off Campus</b></i> is an American romantic drama television series created by Louisa Levy for Amazon Prime Video. It is based on the <i>Off-Campus</i> book series by Elle Kennedy. The series premiered on May 13, 2026. In February 2026, ahead of the series premiere, the series was renewed for a second season.</p>",Off Campus,0,,Off_Campus,Off Campus,<i>Off Campus</i>,,,,,,,,,https://en.wikipedia.org/wiki/Off_Campus,https://en.wikipedia.org/wiki/Off_Campus?action=history,https://en.wikipedia.org/wiki/Off_Campus?action=edit,https://en.wikipedia.org/wiki/Talk:Off_Campus,https://en.wikipedia.org/wiki/Off_Campus,https://en.wikipedia.org/wiki/Special:History/Off_Campus,https://en.wikipedia.org/wiki/Off_Campus?action=edit,https://en.wikipedia.org/wiki/Talk:Off_Campus
