rank,change,country,un_region,un_subregion,population_2022,population_2023
Country or territory Population (1 July 2022) Population (1 July 2023) Change (%),,,,,,
,+0.88%,World,,,"8,021,407,192","8,091,734,930"
,+0.89%,India,Asia,Southern Asia,"1,425,423,212","1,438,069,596"
,−0.18%,China a,Asia,Eastern Asia,"1,425,179,569","1,422,584,933"
,+0.57%,United States,Americas,Northern America,"341,534,046","343,477,335"
,+0.85%,Indonesia,Asia,South-eastern Asia,"278,830,529","281,190,067"
,+1.56%,Pakistan,Asia,Southern Asia,"243,700,667","247,504,495"
,+2.12%,Nigeria,Africa,Western Africa,"223,150,896","227,882,945"
,+0.40%,Brazil,Americas,South America,"210,306,415","211,140,729"
,+1.23%,Bangladesh,Asia,Southern Asia,"169,384,897","171,466,990"
,−0.10%,Russia,Europe,Eastern Europe,"145,579,899","145,440,500"
,+0.88%,Mexico,Americas,Central America,"128,613,117","129,739,759"
,+2.64%,Ethiopia,Africa,Eastern Africa,"125,384,287","128,691,692"
,−0.50%,Japan,Asia,Eastern Asia,"124,997,578","124,370,947"
,+0.81%,Philippines,Asia,South-eastern Asia,"113,964,338","114,891,199"
,+1.70%,Egypt,Africa,Northern Africa,"112,618,250","114,535,772"
,+3.31%,DR Congo,Africa,Middle Africa,"102,396,968","105,789,731"
,+0.67%,Vietnam,Asia,South-eastern Asia,"99,680,655","100,352,192"
,+1.21%,Iran,Asia,Southern Asia,"89,524,246","90,608,707"
,+0.24%,Turkey,Asia,Western Asia,"87,058,473","87,270,501"
,+0.55%,Germany,Europe,Western Europe,"84,086,227","84,548,231"
,−0.05%,Thailand,Asia,South-eastern Asia,"71,735,329","71,702,435"
,+0.74%,United Kingdom,Europe,Northern Europe,"68,179,315","68,682,962"
,+2.95%,Tanzania b,Africa,Eastern Africa,"64,711,821","66,617,606"
,+0.24%,France c,Europe,Western Europe,"66,277,409","66,438,822"
,+1.34%,South Africa,Africa,Southern Africa,"62,378,410","63,212,384"
