Survived,Pclass,Sex_Female,Age,Age_Group,Is_Child,SibSp,Parch,Family_Size,Is_Alone,Fare_Per_Person,Fare_Category,Has_Cabin,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Other,Embarked_C,Embarked_Q,Embarked_S
0,3,0,22.0,2,0,1,0,2,0,3.625,0,0,False,False,True,False,False,False,False,True
1,1,1,38.0,3,0,1,0,2,0,35.64165,3,1,False,False,False,True,False,True,False,False
1,3,1,26.0,2,0,0,0,1,1,7.925,1,0,False,True,False,False,False,False,False,True
1,1,1,35.0,2,0,1,0,2,0,26.55,3,1,False,False,False,True,False,False,False,True
0,3,0,35.0,2,0,0,0,1,1,8.05,1,0,False,False,True,False,False,False,False,True
0,3,0,25.0,2,0,0,0,1,1,8.4583,2,0,False,False,True,False,False,False,True,False
0,1,0,54.0,3,0,0,0,1,1,51.8625,3,1,False,False,True,False,False,False,False,True
0,3,0,2.0,0,1,3,1,5,0,4.215,0,0,True,False,False,False,False,False,False,True
1,3,1,27.0,2,0,0,2,3,0,3.7111,0,0,False,False,False,True,False,False,False,True
1,2,1,14.0,1,0,1,0,2,0,15.0354,2,0,False,False,False,True,False,True,False,False
1,3,1,4.0,0,1,1,1,3,0,5.566666666666666,0,1,False,True,False,False,False,False,False,True
1,1,1,58.0,3,0,0,0,1,1,26.55,3,1,False,True,False,False,False,False,False,True
0,3,0,20.0,2,0,0,0,1,1,8.05,1,0,False,False,True,False,False,False,False,True
0,3,0,39.0,3,0,1,5,7,0,4.4678571428571425,0,0,False,False,True,False,False,False,False,True
0,3,1,14.0,1,0,0,0,1,1,7.8542,1,0,False,True,False,False,False,False,False,True
1,2,1,55.0,3,0,0,0,1,1,16.0,2,0,False,False,False,True,False,False,False,True
0,3,0,2.0,0,1,4,1,6,0,4.854166666666667,0,0,True,False,False,False,False,False,True,False
1,2,0,30.0,2,0,0,0,1,1,13.0,2,0,False,False,True,False,False,False,False,True
0,3,1,31.0,2,0,1,0,2,0,9.0,2,0,False,False,False,True,False,False,False,True
1,3,1,21.5,2,0,0,0,1,1,7.225,0,0,False,False,False,True,False,True,False,False
0,2,0,35.0,2,0,0,0,1,1,26.0,3,0,False,False,True,False,False,False,False,True
1,2,0,34.0,2,0,0,0,1,1,13.0,2,1,False,False,True,False,False,False,False,True
1,3,1,15.0,1,0,0,0,1,1,8.0292,1,0,False,True,False,False,False,False,True,False
1,1,0,28.0,2,0,0,0,1,1,35.5,3,1,False,False,True,False,False,False,False,True
0,3,1,8.0,0,1,3,1,5,0,4.215,0,0,False,True,False,False,False,False,False,True
1,3,1,38.0,3,0,1,5,7,0,4.483928571428572,0,0,False,False,False,True,False,False,False,True
0,3,0,25.0,2,0,0,0,1,1,7.225,0,0,False,False,True,False,False,True,False,False
0,1,0,19.0,2,0,3,2,6,0,43.833333333333336,3,1,False,False,True,False,False,False,False,True
1,3,1,21.5,2,0,0,0,1,1,7.8792,1,0,False,True,False,False,False,False,True,False
0,3,0,25.0,2,0,0,0,1,1,7.8958,1,0,False,False,True,False,False,False,False,True
0,1,0,40.0,3,0,0,0,1,1,27.7208,3,0,False,False,False,False,True,True,False,False
1,1,1,35.0,2,0,1,0,2,0,73.2604,3,1,False,False,False,True,False,True,False,False
1,3,1,21.5,2,0,0,0,1,1,7.75,1,0,False,True,False,False,False,False,True,False
0,2,0,66.0,4,0,0,0,1,1,10.5,2,0,False,False,True,False,False,False,False,True
0,1,0,28.0,2,0,1,0,2,0,41.0854,3,0,False,False,True,False,False,True,False,False
0,1,0,42.0,3,0,1,0,2,0,26.0,3,0,False,False,True,False,False,False,False,True
1,3,0,25.0,2,0,0,0,1,1,7.2292,0,0,False,False,True,False,False,True,False,False
0,3,0,21.0,2,0,0,0,1,1,8.05,1,0,False,False,True,False,False,False,False,True
0,3,1,18.0,1,0,2,0,3,0,6.0,0,0,False,True,False,False,False,False,False,True
1,3,1,14.0,1,0,1,0,2,0,5.62085,0,0,False,True,False,False,False,True,False,False
0,3,1,40.0,3,0,1,0,2,0,4.7375,0,0,False,False,False,True,False,False,False,True
0,2,1,27.0,2,0,1,0,2,0,10.5,2,0,False,False,False,True,False,False,False,True
0,3,0,25.0,2,0,0,0,1,1,7.8958,1,0,False,False,True,False,False,True,False,False
1,2,1,3.0,0,1,1,2,4,0,10.3948,2,0,False,True,False,False,False,True,False,False
1,3,1,19.0,2,0,0,0,1,1,7.8792,1,0,False,True,False,False,False,False,True,False
0,3,0,25.0,2,0,0,0,1,1,8.05,1,0,False,False,True,False,False,False,False,True
0,3,0,25.0,2,0,1,0,2,0,7.75,1,0,False,False,True,False,False,False,True,False
1,3,1,21.5,2,0,0,0,1,1,7.75,1,0,False,True,False,False,False,False,True,False
0,3,0,25.0,2,0,2,0,3,0,7.226400000000001,0,0,False,False,True,False,False,True,False,False
0,3,1,18.0,1,0,1,0,2,0,8.9,2,0,False,False,False,True,False,False,False,True
0,3,0,7.0,0,1,4,1,6,0,6.614583333333333,0,0,True,False,False,False,False,False,False,True
0,3,0,21.0,2,0,0,0,1,1,7.8,1,0,False,False,True,False,False,False,False,True
1,1,1,49.0,3,0,1,0,2,0,38.3646,3,1,False,False,False,True,False,True,False,False
1,2,1,29.0,2,0,1,0,2,0,13.0,2,0,False,False,False,True,False,False,False,True
0,1,0,65.0,4,0,0,1,2,0,30.9896,3,1,False,False,True,False,False,True,False,False
1,1,0,40.0,3,0,0,0,1,1,35.5,3,1,False,False,True,False,False,False,False,True
1,2,1,21.0,2,0,0,0,1,1,10.5,2,0,False,True,False,False,False,False,False,True
0,3,0,28.5,2,0,0,0,1,1,7.2292,0,0,False,False,True,False,False,True,False,False
1,2,1,5.0,0,1,1,2,4,0,6.9375,0,0,False,True,False,False,False,False,False,True
0,3,0,11.0,0,1,5,2,8,0,5.8625,0,0,True,False,False,False,False,False,False,True
0,3,0,22.0,2,0,0,0,1,1,7.2292,0,0,False,False,True,False,False,True,False,False
1,1,1,38.0,3,0,0,0,1,1,80.0,3,1,False,True,False,False,False,False,False,True
0,1,0,45.0,3,0,1,0,2,0,41.7375,3,1,False,False,True,False,False,False,False,True
0,3,0,4.0,0,1,3,2,6,0,4.6499999999999995,0,0,True,False,False,False,False,False,False,True
0,1,0,40.0,3,0,0,0,1,1,27.7208,3,0,False,False,True,False,False,True,False,False
1,3,0,25.0,2,0,1,1,3,0,5.081933333333333,0,0,True,False,False,False,False,True,False,False
1,2,1,29.0,2,0,0,0,1,1,10.5,2,1,False,False,False,True,False,False,False,True
0,3,0,19.0,2,0,0,0,1,1,8.1583,1,0,False,False,True,False,False,False,False,True
1,3,1,17.0,1,0,4,2,7,0,1.1321428571428571,0,0,False,True,False,False,False,False,False,True
0,3,0,26.0,2,0,2,0,3,0,2.8874999999999997,0,0,False,False,True,False,False,False,False,True
0,2,0,32.0,2,0,0,0,1,1,10.5,2,0,False,False,True,False,False,False,False,True
0,3,1,16.0,1,0,5,2,8,0,5.8625,0,0,False,True,False,False,False,False,False,True
0,2,0,21.0,2,0,0,0,1,1,73.5,3,0,False,False,True,False,False,False,False,True
0,3,0,26.0,2,0,1,0,2,0,7.2271,0,0,False,False,True,False,False,True,False,False
1,3,0,32.0,2,0,0,0,1,1,56.4958,3,0,False,False,True,False,False,False,False,True
0,3,0,25.0,2,0,0,0,1,1,7.65,1,1,False,False,True,False,False,False,False,True
0,3,0,25.0,2,0,0,0,1,1,7.8958,1,0,False,False,True,False,False,False,False,True
0,3,0,25.0,2,0,0,0,1,1,8.05,1,0,False,False,True,False,False,False,False,True
1,2,0,0.83,0,1,0,2,3,0,9.666666666666666,2,0,True,False,False,False,False,False,False,True
1,3,1,30.0,2,0,0,0,1,1,12.475,2,0,False,True,False,False,False,False,False,True
0,3,0,22.0,2,0,0,0,1,1,9.0,2,0,False,False,True,False,False,False,False,True
1,3,0,29.0,2,0,0,0,1,1,9.5,2,0,False,False,True,False,False,False,False,True
1,3,1,21.5,2,0,0,0,1,1,7.7875,1,0,False,True,False,False,False,False,True,False
0,1,0,28.0,2,0,0,0,1,1,47.1,3,0,False,False,True,False,False,False,False,True
1,2,1,17.0,1,0,0,0,1,1,10.5,2,0,False,True,False,False,False,False,False,True
1,3,1,33.0,2,0,3,0,4,0,3.9625,0,0,False,False,False,True,False,False,False,True
0,3,0,16.0,1,0,1,3,5,0,6.875,0,0,False,False,True,False,False,False,False,True
0,3,0,25.0,2,0,0,0,1,1,8.05,1,0,False,False,True,False,False,False,False,True
1,1,1,23.0,2,0,3,2,6,0,43.833333333333336,3,1,False,True,False,False,False,False,False,True
0,3,0,24.0,2,0,0,0,1,1,8.05,1,0,False,False,True,False,False,False,False,True
0,3,0,29.0,2,0,0,0,1,1,8.05,1,0,False,False,True,False,False,False,False,True
0,3,0,20.0,2,0,0,0,1,1,7.8542,1,0,False,False,True,False,False,False,False,True
0,1,0,46.0,3,0,1,0,2,0,30.5875,3,1,False,False,True,False,False,False,False,True
0,3,0,26.0,2,0,1,2,4,0,5.14375,0,0,False,False,True,False,False,False,False,True
0,3,0,59.0,3,0,0,0,1,1,7.25,0,0,False,False,True,False,False,False,False,True
0,3,0,25.0,2,0,0,0,1,1,8.05,1,0,False,False,True,False,False,False,False,True
0,1,0,71.0,4,0,0,0,1,1,34.6542,3,1,False,False,True,False,False,True,False,False
1,1,0,23.0,2,0,0,1,2,0,31.67915,3,1,False,False,True,False,False,True,False,False
1,2,1,34.0,2,0,0,1,2,0,11.5,2,0,False,False,False,True,False,False,False,True
0,2,0,34.0,2,0,1,0,2,0,13.0,2,0,False,False,True,False,False,False,False,True
0,3,1,28.0,2,0,0,0,1,1,7.8958,1,0,False,True,False,False,False,False,False,True
0,3,0,25.0,2,0,0,0,1,1,7.8958,1,0,False,False,True,False,False,False,False,True
0,1,0,21.0,2,0,0,1,2,0,38.64375,3,1,False,False,True,False,False,False,False,True
0,3,0,33.0,2,0,0,0,1,1,8.6542,2,0,False,False,True,False,False,False,False,True
0,3,0,37.0,3,0,2,0,3,0,2.6416666666666666,0,0,False,False,True,False,False,False,False,True
0,3,0,28.0,2,0,0,0,1,1,7.8958,1,0,False,False,True,False,False,False,False,True
1,3,1,21.0,2,0,0,0,1,1,7.65,1,0,False,True,False,False,False,False,False,True
1,3,0,25.0,2,0,0,0,1,1,7.775,1,0,False,False,True,False,False,False,False,True
0,3,0,38.0,3,0,0,0,1,1,7.8958,1,0,False,False,True,False,False,False,False,True
1,3,1,21.5,2,0,1,0,2,0,12.075,2,0,False,True,False,False,False,False,True,False
0,1,0,47.0,3,0,0,0,1,1,52.0,3,1,False,False,True,False,False,False,False,True
0,3,1,14.5,1,0,1,0,2,0,7.2271,0,0,False,True,False,False,False,True,False,False
0,3,0,22.0,2,0,0,0,1,1,8.05,1,0,False,False,True,False,False,False,False,True
0,3,1,20.0,2,0,1,0,2,0,4.9125,0,0,False,True,False,False,False,False,False,True
0,3,1,17.0,1,0,0,0,1,1,14.4583,2,0,False,True,False,False,False,True,False,False
0,3,0,21.0,2,0,0,0,1,1,7.925,1,0,False,False,True,False,False,False,False,True
0,3,0,70.5,4,0,0,0,1,1,7.75,1,0,False,False,True,False,False,False,True,False
0,2,0,29.0,2,0,1,0,2,0,10.5,2,0,False,False,True,False,False,False,False,True
0,1,0,24.0,2,0,0,1,2,0,123.7604,3,1,False,False,True,False,False,True,False,False
0,3,1,2.0,0,1,4,2,7,0,4.4678571428571425,0,0,False,True,False,False,False,False,False,True
0,2,0,21.0,2,0,2,0,3,0,24.5,3,0,False,False,True,False,False,False,False,True
0,3,0,25.0,2,0,0,0,1,1,8.05,1,0,False,False,True,False,False,False,False,True
0,2,0,32.5,2,0,1,0,2,0,15.0354,2,0,False,False,True,False,False,True,False,False
1,2,1,32.5,2,0,0,0,1,1,13.0,2,1,False,True,False,False,False,False,False,True
0,1,0,54.0,3,0,0,1,2,0,38.64375,3,1,False,False,True,False,False,False,False,True
1,3,0,12.0,0,0,1,0,2,0,5.62085,0,0,True,False,False,False,False,True,False,False
0,3,0,25.0,2,0,0,0,1,1,7.75,1,0,False,False,True,False,False,False,True,False
1,3,0,24.0,2,0,0,0,1,1,7.1417,0,0,False,False,True,False,False,False,False,True
1,3,1,21.5,2,0,1,1,3,0,7.452766666666666,1,1,False,True,False,False,False,True,False,False
0,3,0,45.0,3,0,0,0,1,1,6.975,0,0,False,False,True,False,False,False,False,True
0,3,0,33.0,2,0,0,0,1,1,7.8958,1,0,False,False,True,False,False,True,False,False
0,3,0,20.0,2,0,0,0,1,1,7.05,0,0,False,False,True,False,False,False,False,True
0,3,1,47.0,3,0,1,0,2,0,7.25,0,0,False,False,False,True,False,False,False,True
1,2,1,29.0,2,0,1,0,2,0,13.0,2,0,False,False,False,True,False,False,False,True
0,2,0,25.0,2,0,0,0,1,1,13.0,2,0,False,False,True,False,False,False,False,True
0,2,0,23.0,2,0,0,0,1,1,15.0458,2,0,False,False,True,False,False,True,False,False
1,1,1,19.0,2,0,0,2,3,0,8.7611,2,1,False,True,False,False,False,False,False,True
0,1,0,37.0,3,0,1,0,2,0,26.55,3,1,False,False,True,False,False,False,False,True
0,3,0,16.0,1,0,0,0,1,1,9.2167,2,0,False,False,True,False,False,False,False,True
0,1,0,24.0,2,0,0,0,1,1,79.2,3,1,False,False,True,False,False,True,False,False
0,3,1,21.5,2,0,0,2,3,0,5.081933333333333,0,0,False,False,False,True,False,True,False,False
1,3,1,22.0,2,0,0,0,1,1,7.75,1,0,False,True,False,False,False,False,False,True
1,3,1,24.0,2,0,1,0,2,0,7.925,1,0,False,False,False,True,False,False,False,True
0,3,0,19.0,2,0,0,0,1,1,6.75,0,0,False,False,True,False,False,False,True,False
0,2,0,18.0,1,0,0,0,1,1,11.5,2,0,False,False,True,False,False,False,False,True
0,2,0,19.0,2,0,1,1,3,0,12.25,2,0,False,False,True,False,False,False,False,True
1,3,0,27.0,2,0,0,0,1,1,7.7958,1,0,False,False,True,False,False,False,False,True
0,3,1,9.0,0,1,2,2,5,0,6.875,0,0,False,True,False,False,False,False,False,True
0,2,0,36.5,3,0,0,2,3,0,8.666666666666666,2,1,False,False,True,False,False,False,False,True
0,2,0,42.0,3,0,0,0,1,1,13.0,2,0,False,False,False,False,True,False,False,True
0,2,0,51.0,3,0,0,0,1,1,12.525,2,0,False,False,False,False,True,False,False,True
1,1,1,22.0,2,0,1,0,2,0,33.3,3,1,False,False,False,True,False,False,False,True
0,3,0,55.5,3,0,0,0,1,1,8.05,1,0,False,False,True,False,False,False,False,True
0,3,0,40.5,3,0,0,2,3,0,4.833333333333333,0,0,False,False,True,False,False,False,False,True
0,3,0,25.0,2,0,0,0,1,1,7.3125,1,0,False,False,True,False,False,False,False,True
0,1,0,51.0,3,0,0,1,2,0,30.6896,3,0,False,False,True,False,False,True,False,False
1,3,1,16.0,1,0,0,0,1,1,7.7333,1,0,False,True,False,False,False,False,True,False
0,3,0,30.0,2,0,0,0,1,1,8.05,1,0,False,False,True,False,False,False,False,True
0,3,0,25.0,2,0,0,0,1,1,8.6625,2,0,False,False,True,False,False,False,False,True
0,3,0,25.0,2,0,8,2,11,0,6.322727272727272,0,0,True,False,False,False,False,False,False,True
